"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ATP-dependent efflux pump transporter Ybh",8657.21286364238,0.187530900599382,0.0582383590825419,3.2200581121043,0.0012816461329618,0.00350685428707295
"Accessory colonization factor",317.77764242258,-7.45885338118129,0.523628438294901,-14.2445536485178,4.84634544949189e-46,3.4560500986689e-44
"Acetoin, butanediol metabolism",15036.7580766955,-0.0748229174604219,0.091448544465647,-0.818196920439006,0.413244753330991,0.554068464806887
"Acetone Butanol Ethanol Synthesis",4124.59665739598,-0.463582787258505,0.250171282246505,-1.85306156284443,0.0638735352692037,0.117169941707655
"Acetone carboxylase",0.270142990813041,0.503298534443302,3.1513470166925,0.159709017057582,0.873110297499413,0.915389592201517
"Acetone carboxylase subunits 2",0.0666855807643197,0.644202304355659,3.15886516223135,0.203934726957642,0.838404507111424,NA
"Acetyl-CoA fermentation to Butyrate",14479.3059319714,-0.448181049519565,0.244686249179841,-1.83165605350449,0.0670026799485456,0.122124693005256
"Acyclic terpenes utilization",34.0390165431729,-4.88687052983689,0.85015511491828,-5.74821046663542,9.01929279307379e-09,5.22386450603919e-08
"Acyl Homoserine Lactone (AHL) Autoinducer Quorum Sensing_",396.899829524972,-7.04266932064402,0.491437226594282,-14.330760755449,1.40572240117436e-46,1.06928617315996e-44
"Acyl-CoA thioesterase II",1442.46102578619,-0.117755137845586,0.358938302545678,-0.328065121527677,0.742862424846794,0.824519481274506
"Adaptation to d-cysteine",3163.27525122532,0.423527107001094,0.133519595666067,3.17202209075241,0.00151381491310575,0.00403566078470482
"Additional flagellar genes in Vibrionales",290.58952411284,-7.17773622215114,0.655036049222068,-10.9577728289543,6.0981649799271e-28,1.93277951169356e-26
"Adenosyl nucleosidases",2563.95881348868,0.309677738084634,0.102342475864984,3.02589648596326,0.0024789715449552,0.006399336047045
"Adhesins in Staphylococcus",532.963622928264,-7.12608451269038,0.58395102109718,-12.2032229677435,2.98760004314461e-34,1.3635406596912e-32
"Adhesion of Campylobacter",286.960543200204,-1.32547909774565,0.450635382881613,-2.94135602328827,0.00326778713584623,0.00818542824987723
"Agrobacterium opine transport",1.9508706668576,-2.85254564191349,1.17411078927725,-2.4295370317391,0.0151181204120803,0.0334297972677978
"Alanine biosynthesis",12124.993082084,-0.0316088153046677,0.165073058895004,-0.19148379218424,0.848146577562935,0.900999275041842
"Alcaligin Siderophore",48.7817649492326,0.208134411290615,0.965868529091767,0.215489380823215,0.829385790474565,0.888572006508431
"Alginate metabolism",4561.99062570407,1.24662225372663,0.250532915375237,4.97588211856113,6.49511674057644e-07,3.04976469176861e-06
"Alkaloid biosynthesis from L-lysine",101.191148610286,-6.11739809260116,0.521536424246609,-11.729570185703,8.99140796501813e-32,3.53765396140886e-30
"Alkane biosynthesis in bacteria",0.0422383522997625,0.909041479164335,3.16014321320156,0.287658317308784,0.77360829987836,NA
"Alkane synthesis in bacteria 2",3.33182094641181,-1.24707964291777,0.960132156888384,-1.29886248884667,0.193991124859774,0.299607066464402
"Alkanesulfonate assimilation",12253.3666489924,-0.352570066504654,0.116942515047749,-3.01490066602976,0.00257063431162762,0.00659122190913958
"Alkanesulfonates Utilization",6905.42038050073,-0.0523984354434531,0.0796239357927929,-0.658073918624303,0.510490634126402,0.648630081891118
"Alkylphosphonate utilization",15589.4743596586,0.579141172209319,0.0672247110451488,8.61500426264923,6.99389935504438e-18,8.48940336606983e-17
"Allantoin Utilization",5943.67657718271,-0.548226440148146,0.269384627679654,-2.03510662382742,0.0418401456506934,0.080777675444063
"Alpha-Amylase locus in Streptocococcus",4371.85817512372,0.283086820117332,0.165354699728115,1.71199742482553,0.0868971430316176,0.154198507308049
"Alpha-acetolactate operon",1430.63992421621,-2.94247846952544,0.822808043111333,-3.57614208339392,0.000348702178969793,0.00105256398466808
"Amidase clustered with urea and nitrile hydratase functions",1131.13433834454,-0.716362529401769,0.231546978762932,-3.09381073866316,0.00197603499118704,0.00518311706883772
"Amino acid racemase",4258.44548444525,-0.260841877628083,0.258317882471207,-1.00977088822783,0.312605070695889,0.435509628405384
"Aminoglycoside adenylyltransferases",180.878306834306,-7.07336897454206,0.697287537542112,-10.1441207446144,3.51933257723422e-24,7.17064012611472e-23
"Ammonia assimilation",33028.1815957147,0.110334793502844,0.0344498629402637,3.2027643678631,0.00136115302675319,0.00370022468068498
"An Arabinose Sensor",12.7064393528821,-1.11577113955299,1.16253872009446,-0.959771163116466,0.337170398597729,0.465752330266354
"Anaerobic Aromatic Degredation (benzoate)",6.40558440274085,-3.3532504960398,0.798696969612593,-4.19840142584527,2.68805817255994e-05,0.000100231188721925
"Anaerobic Oxidative Degradation of L-Ornithine",0.487049096569882,-0.0117387165717067,3.13253935408823,-0.00374734847509152,0.997010055505554,0.997439384915204
"Anaerobic benzoate metabolism",881.543707715739,-0.938626269469878,0.485796623702267,-1.93213831400594,0.0533424364414801,0.0994505228426941
"Anaerobic respiratory reductases",19598.214290088,-0.039679421038137,0.103551234512413,-0.38318636397696,0.701581587822147,0.793369322742435
"Archaeal lipids",5495.07614993684,-0.612662928164541,0.262670818603391,-2.33243620826265,0.0196777551568156,0.0412726445476592
"Archease",0.125539430267404,0.161996299515399,3.15302327020797,0.0513780856126426,0.959024246853685,0.968875280298895
"Archease2",0.592496557086647,-1.40369401299375,2.9200683023068,-0.480705883449664,0.630725549041955,0.755943121278225
"Arginine Biosynthesis extended",19348.7026252466,-0.10296667313972,0.0637505768063367,-1.6151488864566,0.106278456419915,0.180183831760956
"Arginine Deiminase Pathway",10664.2492039786,-0.445796065298304,0.185969541325988,-2.39714558695858,0.016523357067037,0.0358424912803978
"Arginine and Ornithine Degradation",48159.8648024168,-0.0678785563109303,0.0592886450504172,-1.14488290722799,0.252257665423907,0.369775204874426
"Aromatic Amin Catabolism",7187.25447422988,0.333127821739677,0.370161106199356,0.899953604418573,0.368144941568759,0.504819572097705
"Aromatic amino acid degradation",16564.6565568131,0.140452648294095,0.261315964086273,0.537482081453413,0.590934658914823,0.721169349990772
"Aromatic amino acid interconversions with aryl acids",163.436134369462,-4.29361977060035,0.605806159786437,-7.08744818988629,1.36607418570403e-12,1.08999345866314e-11
"Arsenic resistance",10806.0131019962,-0.349031208160487,0.312442348764052,-1.11710595423819,0.263949024951504,0.38219014907318
"At1g01770",251.97745697635,-4.24381859215527,1.0201622715149,-4.15994465846435,3.18324716325433e-05,0.000115671497238
"At1g14345",621.50570906121,-0.622401024598992,0.220853985680869,-2.81815617988598,0.00483003093780191,0.0116759858051525
"At1g21350",5992.49091484318,0.0758274616799195,0.0907595566868703,0.835476333820492,0.403449566524988,0.542849004015344
"At1g24340",191.943298397912,-2.76966550632172,0.80247522018991,-3.45140315443793,0.000557679857735097,0.00161500689765418
"At1g26220 At1g32070",73.6329467608322,-0.050417404590745,0.494400166469786,-0.101976916696338,0.918774997357334,0.943009602400417
"At1g48360",2603.62593169728,-0.109273018563865,0.15525857205046,-0.703813110739878,0.481549167805505,0.622533914611268
"At1g54520",936.424256595764,-0.721299634774435,0.537390409236154,-1.34222647516112,0.179522574661209,0.279142912424573
"At1g69340 At2g40600",7274.57130701809,0.144995048853517,0.172385421351557,0.841109693132458,0.400286485340542,0.539228901739738
"At2g23840",5479.58251442681,-0.24728933053313,0.16491094548938,-1.4995325495181,0.133735531119572,0.218613525798612
"At2g25870",5291.40139185144,0.217178453005486,0.125473053903856,1.730877238167,0.0834736621433133,0.14928440204627
"At2g33980 At1g28960",92.6220670149913,-3.90916168365865,0.798159915384811,-4.89771737255679,9.69563522566434e-07,4.47883392408219e-06
"At3g21300",4746.93725921626,-0.391786801698625,0.13110702569049,-2.98829753504998,0.00280536302423444,0.00709738184179933
"At3g50560",156.97642430303,-4.10460514387226,0.557683360403548,-7.36009971841747,1.83772895170415e-13,1.56481248798092e-12
"At4g10620 At3g57180 At3g47450",3831.51043944168,-0.641187173279297,0.273947337359056,-2.34054902471605,0.0192554102178195,0.0405358359013506
"At4g17370",23.7467304983914,-1.78794766262396,0.622557707780739,-2.8719388424208,0.00407961910403126,0.0100754229387439
"At5g04520 AT1G06240",9031.71423163749,-0.0248544031607534,0.101170422445814,-0.245668670347454,0.805938726480932,0.868343802563498
"At5g37530 (CsdL protein family)",21444.5617235268,0.126636599511612,0.0508685980639337,2.48948475742246,0.012792840399381,0.028620844893517
"At5g63290",21694.0933978266,0.165966056051275,0.0835765059513276,1.98579797231448,0.0470557610158064,0.0896337618013942
"Autoinducer 2 (AI-2) transport and processing (lsrACDBFGE operon)",10775.6362984787,1.16786024020205,0.092454231677557,12.631766215689,1.4107570468977e-36,7.31669904777396e-35
"Auxin degradation",3199.67702921149,0.206385015218099,0.172379378415171,1.19727206998639,0.231200527021564,0.34664888479843
"B12 duf71",1244.6689366402,-0.133848495916847,0.439365305037033,-0.304640567615063,0.760639919220766,0.837731802925574
"BEY LIP",41552.2786528394,0.273346028443751,0.0554167486843727,4.93255261149656,8.11619086646531e-07,3.7798260320967e-06
"Bacillibactin Siderophore",19.5054297752548,-3.46348713555293,1.05553944305674,-3.28124842547142,0.00103348673758903,0.00284832939031179
"Bacillus biofilm matrix protein component TasA and homologs",87.9663275947023,-2.62176460832349,1.16447105185059,-2.25146396224875,0.0243561669250513,0.0499827094630999
"Bacitracin Stress Response",334.430043824594,-3.47826732652109,0.649159925504454,-5.35810543729755,8.40991594793692e-08,4.54773179933461e-07
"BactLuciferaseComplex",117.382654910446,-1.87746835900019,0.797143197942717,-2.35524603841016,0.0185104450570132,0.0393303869833372
"Bacterial Cell Division",53766.0829701707,0.17245570190305,0.0383253339294351,4.49978341273102,6.80227337426224e-06,2.8430014359096e-05
"Bacterial Chemotaxis",51938.4455759605,0.600041120894804,0.0624608292970425,9.60667874006623,7.49268534960867e-22,1.26826250551627e-20
"Bacterial Cytoskeleton",39569.9908028992,0.206702562053732,0.0556932218872673,3.71144916830514,0.000206076054742107,0.00064243928541187
"Bacterial Luciferases",117.382654910446,-1.87746835900019,0.797143197942717,-2.35524603841016,0.0185104450570132,0.0393303869833372
"Bacterial cyanide production and tolerance mechanisms",136.367998327056,-3.81255781204184,0.580058278812849,-6.57271510691072,4.94059356717769e-11,3.52326078759359e-10
"Bacterial hemoglobins",20126.9452222806,-0.17440727563875,0.118390360745194,-1.4731543559878,0.140709419475202,0.228702916839324
"Bacterial motility:Gliding",10563.5649608276,-0.105758882449477,0.11331877543957,-0.933286492368383,0.350672067461746,0.482649974636734
"Bacterial pathways for dimethylsulfoniopropionate and acrylate catabolism",1356.88462028104,-0.0687408097448235,0.173091406871537,-0.397135888992114,0.691267255867185,0.787947990953505
"Bacteriocin-like peptides Blp",14.633981938984,-5.493221264157,1.02674074371548,-5.35015416284993,8.7879338436251e-08,4.70752700261795e-07
"Bacteriocins in Lactobacilli",8.9865835341209,-5.40353266432209,1.06339789149346,-5.08138365474211,3.74695479530345e-07,1.86548971117054e-06
"Bacteroides capsular polysaccharide transcription antitermination proteins",0.730196041975022,-1.35716522171741,3.13060291127846,-0.433515607114534,0.664640230222744,0.771469483910632
"Benzoate catabolism",699.342894627439,-0.984332399871423,0.717646960701398,-1.37161090866932,0.170184596076163,0.269315617378588
"Benzoate degradation",3863.00125293874,-0.619924111566711,0.162701164907951,-3.81020081766123,0.00013885395651713,0.000450091944278538
"Benzoate transport and degradation cluster",1156.19221196034,0.548458984721982,0.383777570452445,1.42910640680588,0.152973652351703,0.245489363337965
"Beta-Glucoside Metabolism",45894.188577152,0.282517065443767,0.101088668324335,2.79474514925188,0.00519406432409793,0.0124504777180583
"Beta-lactamase",5033.11548375195,0.0677154631051866,0.143569356282699,0.471656799601786,0.63717177730529,0.759248814426436
"Beta-lactamase cluster in Streptococcus",530.194996733289,-5.50316366869144,0.509774320584282,-10.7952940085015,3.62301067657464e-27,1.05996286717222e-25
"Biflavanoid biosynthesis",32.9980776601558,-5.35480172400852,1.07509289314099,-4.98078050573282,6.33283357390859e-07,2.98585252389657e-06
"Biofilm Adhesin Biosynthesis",5324.11563444604,-1.19246012956696,0.713565843420117,-1.6711283766772,0.0946963234785144,0.16420745454253
"Biofilm formation in Staphylococcus",15.8948004059321,1.44400439025195,0.988896847030775,1.4602174074957,0.144230332642802,0.233759672649768
"Biogenesis of c-type cytochromes",18908.0365479407,-0.431783775567361,0.0699612314174901,-6.17175779812555,6.75349018365336e-10,4.35352107319123e-09
"Biogenesis of cbb3-type cytochrome c oxidases",1182.96392663689,-7.18486280044329,0.412300006361682,-17.4262980586532,5.21123151349351e-68,5.40546832445099e-66
"Biogenesis of cytochrome c oxidases",4031.52397819078,-0.0945148998651374,0.138506993661177,-0.682383592097486,0.494996428101901,0.634596544341875
"Biotin biosynthesis",16414.773623681,-0.190955733765656,0.0767867863439981,-2.48683064961452,0.012888673642208,0.0287788192284918
"Biotin synthesis & utilization",26156.7674413829,-0.0574588729602661,0.102188240728302,-0.562284589212548,0.573922136388461,0.709474710313364
"Biphenyl Degradation",2862.75618371577,-0.0529329069698553,0.0893115023851782,-0.59267737700312,0.553397084405388,0.69139575328503
"BlaR1 Family Regulatory Sensor-transducer Disambiguation",7266.72241266482,-0.344744988940082,0.228373849410329,-1.50956420724276,0.131154660221187,0.214702248654769
"Branched chain amino acid degradation regulons",21.071731692197,-5.14041470083626,0.875876005888482,-5.86888402727948,4.38738178379514e-09,2.58041371923209e-08
"Branched-Chain Amino Acid Biosynthesis",41883.102660726,0.326706039884588,0.0409495056868808,7.97826577890184,1.48403573783586e-15,1.51186140792028e-14
"Broadly distributed proteins not in subsystems",6892.3493261385,-0.160473429062856,0.0895501829856149,-1.79199442940986,0.0731338583420976,0.132034386658755
"Brucella Wbk Region and LPS genes",75.1040580803486,-1.82267413193932,0.758235717478465,-2.40383575967731,0.016224060554511,0.035484199058736
"Butanol Biosynthesis",19312.7390113713,0.0371295779870242,0.126985151073456,0.292393068584421,0.769986107264495,0.843585520719348
"C jejuni colonization of chick caeca",54.2553887332892,-1.52643585037502,0.930385998144869,-1.64064791755104,0.100870522069522,0.172553621711131
"CBSS-100226.1.peg.2266",31.9728809797437,-3.26643350161492,0.647427376978801,-5.04525081540054,4.5292682611763e-07,2.19910429191581e-06
"CBSS-176299.3.peg.235",11.8263798396424,-4.69027332517003,0.923154419625412,-5.08070288725174,3.76040870788102e-07,1.86548971117054e-06
"CBSS-176299.4.peg.1292",13718.5307269302,0.165054145949499,0.0270385436698717,6.10440221798685,1.03186138223892e-09,6.43362752532575e-09
"CBSS-1806.1.peg.1285",1.59837919017951,1.17396122749054,1.89053180908301,0.620968778123847,0.534620166108121,0.671770804724599
"CBSS-188.1.peg.9880",78.7580727367388,-0.183872402426999,0.546679875182336,-0.336343828946825,0.736611602394027,0.819175281024937
"CBSS-194948.1.peg.143",805.131407416325,-1.78204276147973,0.595242429177361,-2.99381004130124,0.0027551742199005,0.00700145609110573
"CBSS-196164.1.peg.1690",2752.1844418919,-1.6594834601714,0.118080564475755,-14.053823908609,7.2984324105859e-45,4.89853610616383e-43
"CBSS-196164.1.peg.461",3197.54900806636,0.397343565550536,0.138209459412186,2.87493755666554,0.00404107409155238,0.0100018775237771
"CBSS-196620.1.peg.2477",2.27255219185867,0.823816355124077,2.74312153630538,0.30032076385272,0.763932496548012,0.839736973565782
"CBSS-198094.1.peg.4426",105.465206618042,-1.3208778656507,0.79210303641573,-1.66755813944065,0.0954034739435293,0.164749924294786
"CBSS-203122.12.peg.188",4642.94172415841,-0.457284617891656,0.11154269722604,-4.09963744166033,4.13797870705576e-05,0.000148007326167731
"CBSS-205914.5.peg.1403",1331.2223090917,-5.79571046603902,0.791891428951465,-7.31881954286721,2.50161729650474e-13,2.09878333478817e-12
"CBSS-205922.3.peg.1809",1159.27096499287,0.402148640504722,0.170289723766901,2.36155553963549,0.0181984457455172,0.03881201232829
"CBSS-208964.1.peg.1012",75.6872028458574,-1.18622444308044,1.02387499847788,-1.15856373565514,0.246634057953743,0.364048460705331
"CBSS-211586.1.peg.2357",3966.99823976206,0.378086760777303,0.112737286888405,3.35369753178077,0.000797394756416632,0.00226889630192363
"CBSS-211586.1.peg.3133",8511.03738865782,0.136430640915051,0.0807318532732425,1.68992331259004,0.0910426269377275,0.159814826670688
"CBSS-216592.1.peg.3534",2370.64971281786,-0.942958786983735,0.169006731428834,-5.57941555943764,2.41328063221694e-08,1.35643014845297e-07
"CBSS-216592.1.peg.3937",33193.3247436857,0.456532912502676,0.102491152928927,4.45436410320471,8.41422038757005e-06,3.45346239648109e-05
"CBSS-222523.1.peg.1311",524.130917604794,-5.71976178268467,0.621696191138798,-9.20025225216106,3.57110440342916e-20,5.22388477475983e-19
"CBSS-232721.5.peg.360",85.8731992236471,-6.51909283424539,0.652825185909438,-9.98597017234218,1.75575012814361e-23,3.28411622329812e-22
"CBSS-243265.1.peg.198",5052.80493523924,0.200888133567699,0.0413368299253694,4.85978566644776,1.17512905556568e-06,5.34286255974487e-06
"CBSS-246196.1.peg.364",7526.8661815655,-0.263079880071924,0.137954232808275,-1.90700839486053,0.0565195004117466,0.105030537410102
"CBSS-257314.1.peg.488",3106.62361320698,-0.220529663435186,0.112474309983497,-1.96071141461143,0.0499126967651798,0.093822713359259
"CBSS-257314.1.peg.676",384.827619088198,-4.81358190131593,0.695287223854061,-6.92315597952982,4.41690962909179e-12,3.3375456203932e-11
"CBSS-258594.1.peg.3339",4672.40663657123,0.931343972049438,0.191644389425302,4.85975078551647,1.17533611086412e-06,5.34286255974487e-06
"CBSS-261594.1.peg.788",222.95183958977,-4.93311331380511,0.650189293743339,-7.58719554639798,3.26903556093096e-14,3.05735211067395e-13
"CBSS-262316.1.peg.2929",13.4176281217903,-2.06330766063778,0.503271598159574,-4.0997895931007,4.13525925685076e-05,0.000148007326167731
"CBSS-262719.3.peg.410",525.920945349073,-4.67039398333094,0.591227669328595,-7.89948479345475,2.8005860018877e-15,2.80304265627532e-14
"CBSS-265072.7.peg.546",681.665691935246,0.136349946258179,0.109612201986171,1.24393036347706,0.213525193175147,0.326584779373784
"CBSS-269482.1.peg.1294",3016.87068873045,0.57845882178253,0.127856582033221,4.52427878630628,6.06018000668439e-06,2.56098718060255e-05
"CBSS-269799.3.peg.2220",5.13762851028879,-0.539075764672279,0.503221208697203,-1.07125008913655,0.284056995055952,0.403622704058333
"CBSS-269801.1.peg.2186",1725.2110630139,-0.71064953048414,0.32416230278333,-2.19226456741683,0.0283604086486713,0.0569704687819259
"CBSS-279010.5.peg.3195",534.28906020703,-6.04604766824173,0.584660848705612,-10.3411194398037,4.591423980992e-25,1.04776295246237e-23
"CBSS-280355.3.peg.2835",47.9344808227225,-4.15647083661656,0.881219068721259,-4.71672820544842,2.39667516631824e-06,1.06404916917086e-05
"CBSS-281090.3.peg.464",7058.18383565229,-0.135827307805426,0.0677855936526365,-2.00377839134175,0.0450938045611583,0.0863289110810095
"CBSS-288000.5.peg.1793",9.17910018759773,-2.2161933818041,1.18214511406337,-1.87472194017401,0.0608309869034746,0.112492959573524
"CBSS-292415.3.peg.2341",2478.89720921844,0.646594358240488,0.467379514544413,1.38344608207907,0.166528128993661,0.263900826641344
"CBSS-314267.3.peg.390",86.4733658787661,-4.1301026361204,0.459411024758715,-8.98999460948842,2.47242558650853e-19,3.28027627233283e-18
"CBSS-316057.3.peg.1308",3835.23484006475,0.225938504904712,0.0862597615111931,2.61928042631319,0.00881154786452314,0.020270113131897
"CBSS-316057.3.peg.563",4281.69665239326,0.0445665615408431,0.0875264122128583,0.509178434418862,0.610627157831336,0.736496392268028
"CBSS-316057.3.peg.659",2426.30172580175,0.0371208229724729,0.200599784253139,0.185049166980308,0.853190471778934,0.902215318164749
"CBSS-316275.9.peg.382",1774.83643217211,0.407193374594377,0.123539070625931,3.29606959588787,0.000980477228783987,0.00272505100130336
"CBSS-316407.3.peg.1371",2057.53214167548,-0.476766950758387,0.294119353525484,-1.62099822756845,0.105018018821847,0.178577584911665
"CBSS-318161.14.peg.2599",2327.08552865872,-0.327513846819851,0.120547319557651,-2.71689033005185,0.00658984396270767,0.0155673125495848
"CBSS-320372.3.peg.6046",6856.62332374763,0.219505780232415,0.0914239316007272,2.40096631581165,0.0163518416267202,0.0356115918384996
"CBSS-320388.3.peg.3759",1080.46444492893,0.554696472508081,0.320108105594771,1.73284107091708,0.0831239206711661,0.148892297465935
"CBSS-323098.3.peg.2823",1306.75612004213,-0.584963050304303,0.224759740963972,-2.60261489800377,0.00925158090139224,0.0211968951977682
"CBSS-323850.3.peg.3142",1034.58392539088,-2.61727860742406,0.327867699683547,-7.98272781963644,1.4313429448883e-15,1.47131738749329e-14
"CBSS-323850.3.peg.3269",7766.5412520344,0.237706087296806,0.070173071674877,3.38742599722777,0.000705517474160715,0.00201753242610871
"CBSS-323850.3.peg.3284",3416.51537334454,-1.4122168907364,0.534603535854362,-2.64161532055621,0.00825117120389213,0.0191743102721811
"CBSS-326442.4.peg.1852",20088.7040339545,0.25470702589536,0.0499950466420236,5.09464522993893,3.49394911156008e-07,1.7562096635639e-06
"CBSS-342610.3.peg.1536",9098.73583549131,0.101964669943772,0.08312525794266,1.22663883959443,0.219958364397552,0.333296804485533
"CBSS-342610.3.peg.283",2242.71719731565,-0.322053668794504,0.483924870642317,-0.665503445539056,0.505728540498907,0.644013688291577
"CBSS-344610.3.peg.2335",617.392950994648,-7.23893641846414,0.376664214726882,-19.218540374782,2.58952481538824e-82,4.22092544908282e-80
"CBSS-350688.3.peg.1509",318.76216312939,0.0119533916110054,0.53096051524211,0.0225127693451081,0.982038926117667,0.987230321321813
"CBSS-354.1.peg.2917",18131.4117497497,0.249618111945896,0.0461394539537991,5.41007945598676,6.29967923162281e-08,3.43920287238355e-07
"CBSS-376686.6.peg.291",1.3312674868391,-2.16780594747158,1.40307421574056,-1.54504011487901,0.122336560586782,0.202592185238779
"CBSS-393121.3.peg.2760",2709.06818154423,-1.81199879307021,0.338841142482671,-5.34763511831471,8.91108831477605e-08,4.7511924145605e-07
"CBSS-393130.3.peg.129",46.8724115101191,0.624081055164543,2.04298411376869,0.305475236424281,0.760004227665478,0.837731802925574
"CBSS-393130.3.peg.794",1324.81536545272,-0.71766490419379,0.217928324933673,-3.29312357359794,0.00099080916855672,0.00274396422651266
"CBSS-49338.1.peg.459",2367.05815316573,-1.10931974161943,0.605188045635317,-1.83301661296843,0.0668001005553614,0.121950263573868
"CBSS-498211.3.peg.1514",114.458895040978,-6.7528410291321,0.594518333848158,-11.3585076265399,6.72842040461244e-30,2.3264023277766e-28
"CBSS-502800.3.peg.2785",1222.46034979762,-1.9813773783295,0.295707185632359,-6.70047085292297,2.07749036624824e-11,1.50026361258812e-10
"CBSS-52598.3.peg.2843",53.7757423716155,-2.84695161676648,0.805921358310696,-3.53254270706265,0.000411583741202525,0.00122615417418298
"CBSS-56780.10.peg.1536",7985.50190268971,0.16213676128698,0.0464708463048096,3.48899953797914,0.000484831986915854,0.0014220907379717
"CBSS-584.1.peg.841",4996.15057298993,0.315410182852377,0.0739811540214506,4.26338554763454,2.0135265591375e-05,7.65426618082264e-05
"CBSS-83331.1.peg.3039",16866.7467306657,0.396204236889802,0.0719974240887998,5.50303350299219,3.73311445135785e-08,2.06757873643716e-07
"CBSS-84588.1.peg.1247",8308.63418104196,0.140371074409766,0.0642955932265169,2.1832145465278,0.0290200140163555,0.0581930333790187
"CBSS-89187.3.peg.2957",4239.26518999153,0.158064471502078,0.0809971111438594,1.95148282784232,0.0509996370023038,0.095551044038799
"CFE Sulfur Oxidation",54.7704926741922,-5.0727422635879,0.768144277776617,-6.60389253731198,4.00499892488786e-11,2.8740275303755e-10
