name	FAME000105	FAME000106	FAME000107	FAME000108	FAME000109	FAME000110	FAME000111	FAME000113	FAME000114	FAME000115	FAME000116	FAME000117	FAME000118	FAME000119	FAME000120	FAME000121	FAME000122	FAME000123	FAME000125	FAME000126	FAME000127	FAME000128	FAME000129	FAME000130	FAME000131	FAME000104	FAME000112	FAME000124	FAME000132
Enterobacter soli	21.0	39.0	33.0	20.0	22.0	16.0	8.0	4.0	3.0	10466.0	4.0	2.0	1.0	2.0	3.0	4.0	12.0	12.0	9636.0	1825.0	156.0	169.0	70.0	179.0	100.0	1908.0	1.0	1.0	8.0
Enterobacter huaxiensis	10.0	19.0	9.0	13.0	15.0	9.0	10.0	3.0	7.0	32.0	5.0	3.0	2.0	2.0	7.0	6.0	3.0	6.0	36.0	45.0	45.0	24.0	17.0	21.0	14.0	23.0	7.0	8.0	14.0
Enterobacter quasiroggenkampii	2.0							1.0		18.0				1.0				1.0	3.0	32.0	2.0	2.0	9.0			10.0			3.0
Enterobacter pseudoroggenkampii	2.0		7.0	3.0	8.0	7.0	5.0	5.0	17.0	47.0	13.0	9.0	11.0	9.0	1.0			1.0	34.0	211.0	45.0	102.0	22.0	15.0	20.0	15.0	12.0	54.0	63.0
Citrobacter freundii	30395.0	36215.0	42644.0	15523.0	16749.0	17795.0	9795.0	8229.0	9410.0	181975.0	9344.0	7276.0	9717.0	9053.0	9564.0	10295.0	13094.0	22369.0	109093.0	241459.0	42570.0	82846.0	48081.0	98892.0	76190.0	78371.0	8283.0	15993.0	7246.0
Citrobacter braakii	41216.0	44020.0	54001.0	23054.0	40140.0	47918.0	7077.0	5754.0	6118.0	19581.0	6199.0	4918.0	6473.0	5559.0	6287.0	7412.0	5218.0	6550.0	19989.0	125125.0	110971.0	222513.0	88960.0	295731.0	138132.0	8806.0	4993.0	2174.0	290.0
Citrobacter portucalensis	5484.0	6568.0	4072.0	2365.0	1647.0	1575.0	926.0	557.0	609.0	23213.0	693.0	462.0	708.0	799.0	706.0	953.0	2847.0	6347.0	9287.0	13333.0	5759.0	9955.0	9142.0	8778.0	3611.0	4929.0	740.0	3835.0	546.0
Citrobacter werkmanii	157.0	197.0	229.0	117.0	187.0	199.0	34.0	30.0	28.0	7664.0	42.0	23.0	21.0	9.0	17.0	19.0	7.0	7.0	646.0	2898.0	12198.0	20027.0	27322.0	1565.0	2447.0	955.0	35.0	32.0	125.0
Citrobacter youngae	428.0	576.0	585.0	211.0	415.0	481.0	45.0		7.0	11264.0					7.0			9.0	3674.0	12985.0	8993.0	4825.0	9954.0	1488.0	6821.0	4950.0	7.0	5.0	3.0
Citrobacter freundii complex sp. CFNIH9	142.0	106.0	118.0	89.0	162.0	149.0	17.0		5.0	3831.0									4282.0	1409.0	237.0	135.0	111.0	254.0	157.0	1103.0			8.0
Citrobacter freundii complex sp. CFNIH2	9.0	27.0	11.0	5.0	10.0	4.0	1.0	1.0		151.0				1.0		2.0			14.0	36.0	59.0	43.0	39.0	26.0	16.0	18.0	1.0		
Citrobacter sp. MGH103	334.0		273.0																2516.0	272.0		1639.0	411.0	2599.0	505.0	503.0	98.0		
Citrobacter sp. MGH105	27.0					16.0				191.0					6.0				275.0	597.0	165.0	193.0	203.0	36.0	127.0	94.0	6.0		
Citrobacter freundii complex sp. CFNIH3	177.0				90.0	194.0			24.0	3298.0	48.0								510.0	2250.0	828.0	377.0	1295.0	1179.0		1128.0			
Citrobacter sedlakii	30.0	35.0	3.0	5.0	19.0	2.0	7.0		1.0	35.0									29.0	35.0	11.0	15.0	24.0	14.0		31.0	1.0	1.0	3.0
Citrobacter cronae	49.0	123.0	42.0	52.0	26.0	29.0	13.0	5.0	6.0	804.0	21.0	9.0	5.0		5.0	2.0			406.0	1076.0	3067.0	4301.0	6707.0	717.0	679.0	212.0	5.0	28.0	52.0
Citrobacter sp. BDA59-3	341.0	736.0	174.0	250.0	221.0	110.0	51.0	7.0	14.0	479.0	3.0	1.0	13.0	7.0	3.0	4.0		8.0	585.0	206.0	99.0	157.0	87.0	285.0	111.0	241.0	25.0	9.0	7.0
Citrobacter sp. RHBSTW-00881	10483.0	15114.0	7255.0	2929.0	845.0	1399.0	817.0	46.0	10.0	741.0	32.0		153.0	654.0	492.0	406.0	1882.0	3905.0	1989.0	2009.0	1340.0	2834.0	1268.0	3145.0	3420.0	515.0	621.0	2235.0	34.0
Citrobacter sp. 172116965	2477.0	2885.0	2786.0	988.0	2053.0	2696.0	111.0		3.0	590.0							3.0	2.0	544.0	3737.0	3722.0	7378.0	2432.0	8875.0	4456.0	191.0	25.0	2.0	
Citrobacter sp. LUTT5	1820.0	1641.0	1460.0	501.0	607.0	640.0	339.0	257.0	268.0	3244.0	195.0	280.0	263.0	289.0	354.0	336.0	514.0	888.0	854.0	807.0	205.0	298.0	116.0	75.0	445.0	564.0	241.0	623.0	15.0
Citrobacter sp. R56	47.0	50.0	122.0	13.0	15.0	8.0	9.0	2.0	2.0	57.0	1.0	2.0	4.0	5.0	3.0	4.0	28.0	73.0	44.0	85.0	101.0	273.0	199.0	387.0	340.0	29.0	7.0	37.0	7.0
Citrobacter sp. RHB25-C09	35.0	65.0	19.0	20.0	25.0	22.0	8.0	3.0	5.0	53.0	7.0	4.0	7.0	2.0	5.0	3.0	3.0	6.0	34.0	68.0	53.0	44.0	53.0	42.0	18.0	20.0	6.0	6.0	10.0
Citrobacter sp. Res13-Lact-LER2-35-b	699.0	809.0	590.0	485.0	430.0	910.0	138.0			38.0		12.0							42.0	668.0	233.0	430.0	160.0	425.0	967.0	52.0	36.0		
Citrobacter sp. RHBSTW-00944	3076.0	4774.0	2254.0	7085.0	9568.0	11952.0	4425.0	2609.0	3668.0	478.0	4134.0	2779.0	2221.0	1483.0	761.0	274.0	72.0	81.0	321.0	1516.0	2305.0	4382.0	5960.0	6615.0	2943.0	344.0	2349.0	8665.0	10537.0
Citrobacter sp. RHBSTW-00986	644.0	716.0	626.0	224.0	464.0	548.0	40.0		16.0	703.0	12.0		12.0	12.0	4.0	4.0	7.0	10.0	853.0	1018.0	605.0	1990.0	804.0	2014.0	1062.0	350.0	12.0	6.0	
Citrobacter sp. RHBSTW-00325	1043.0	4215.0	33.0	1448.0	654.0	185.0	328.0			3511.0									2441.0	616.0	1791.0	54.0	26.0	55.0		2335.0	36.0		
Citrobacter sp. FDAARGOS_156	284.0	500.0	82.0	115.0	58.0	42.0	13.0		1.0	2521.0		3.0		1.0					826.0	4038.0	3512.0	2159.0	3584.0	817.0	1994.0	669.0	6.0	5.0	
Citrobacter sp. RHBSTW-00137	9916.0	22536.0	13815.0	103677.0	168551.0	179079.0	108551.0	127344.0	132407.0	925.0	137933.0	110310.0	142848.0	111867.0	158657.0	176665.0	112014.0	117424.0	943.0	6423.0	8345.0	12017.0	5961.0	9932.0	15181.0	815.0	103117.0	33426.0	2666.0
Citrobacter sp. RHBSTW-00599	922.0	938.0	598.0	943.0	685.0	450.0	177.0	109.0	110.0	725.0	129.0	79.0	111.0	101.0	110.0	133.0	92.0	83.0	818.0	1789.0	1310.0	8777.0	9586.0	9195.0	2743.0	402.0	54.0	13.0	3.0
Citrobacter sp. RHBSTW-00229	1553.0	1775.0	1086.0	650.0	543.0	954.0	61.0			1300.0							12.0		101.0	554.0	314.0	215.0	91.0	610.0	1021.0	434.0	46.0	19.0	
Citrobacter sp. On28M	10.0	13.0	15.0	3.0	13.0	13.0	3.0			56.0										2.0	2.0		1.0		13.0	5.0			1.0
Citrobacter sp. RHB35-C21	185.0	163.0	139.0	37.0	73.0	169.0	16.0			495.0	3.0				3.0				236.0	1090.0	776.0	1629.0	745.0	2428.0	915.0	180.0			
Citrobacter sp. RHBSTW-00017	7365.0	6160.0	9457.0	1462.0	2533.0	8283.0				627.0									1250.0		626.0		1126.0	1232.0	6518.0	1085.0			
Citrobacter sp. RHBSTW-00887	150.0	152.0	142.0	100.0	152.0	64.0	4.0			258.0									208.0	1278.0	803.0	1350.0	571.0	2290.0	540.0	109.0			
Citrobacter sp. Y3	517.0	1131.0	110.0	163.0	186.0		38.0	7.0		268.0			7.0	7.0					179.0	190.0		46.0	157.0	171.0	50.0	78.0	7.0		
Citrobacter sp. RHBSTW-00671	129.0	311.0	116.0	104.0	196.0	231.0	44.0	61.0	14.0	104.0	43.0	44.0	15.0				13.0	11.0	198.0	11031.0	7348.0	12889.0	5001.0	17665.0	3777.0	70.0	88.0	19.0	21.0
Citrobacter sp. S39	503.0	336.0	422.0	265.0	340.0	729.0	294.0	495.0	445.0	1180.0	515.0	426.0	545.0	464.0	312.0	465.0	420.0	436.0	957.0	624.0		175.0	404.0	218.0	387.0	1152.0	270.0	130.0	18.0
Citrobacter sp. RHBSTW-00570	282.0	186.0	159.0	42.0	95.0	230.0	25.0		12.0	1802.0	6.0		6.0					5.0	981.0	2205.0	674.0	1486.0	523.0	1743.0	739.0	501.0		9.0	
Citrobacter sp. RHBSTW-00524	103.0	401.0	429.0	26.0	183.0	120.0	6.0			831.0				2.0					613.0	1255.0	830.0	1726.0	750.0	3078.0	1340.0	908.0			
Citrobacter sp. RHBSTW-00053	1013.0	405.0	509.0	181.0	510.0	657.0	36.0			7096.0								23.0	2886.0	753.0	133.0	2259.0	4862.0	263.0	777.0	3002.0		19.0	
Citrobacter sp. 21OH12SH02A-Citro	266.0	193.0	401.0	85.0	393.0	354.0	20.0	7.0	15.0	1415.0	15.0		31.0				6.0		894.0	1445.0	957.0	1928.0	867.0	2755.0	799.0	294.0	16.0		6.0
Citrobacter sp. CRE-46	54.0	56.0	80.0	29.0	40.0	76.0		3.0		580.0		3.0			3.0	3.0		2.0	232.0	105.0	288.0	352.0	554.0	213.0	129.0	112.0		2.0	3.0
Citrobacter sp. RHB36-C18	54.0	125.0	47.0			39.0				993.0	1.0								217.0	2417.0	1369.0	4363.0	938.0	2802.0	543.0	334.0	2.0	1.0	
Citrobacter sp. Colony219	30.0	14.0		6.0	7.0	7.0	2.0			1673.0									458.0	3052.0	2457.0	829.0	2567.0	410.0	1437.0	562.0	3.0		
Citrobacter sp. TSA-1	47.0	109.0	102.0	18.0	32.0	70.0				241.0									95.0	329.0	443.0	607.0	237.0	1132.0	359.0	111.0			
Citrobacter sp. RHBSTW-00535	232.0									324.0									163.0	878.0	162.0	169.0	289.0		183.0	425.0			
Citrobacter sp. RHBSTW-00848	673.0	1368.0	560.0	937.0	1399.0	1492.0	1220.0			487.0									2026.0	1080.0		2508.0	1723.0	950.0	4712.0	858.0	576.0		
Citrobacter sp. RHBSTW-00903	231.0	689.0	1173.0	311.0	354.0	1141.0				4285.0									4010.0	346.0			140.0		1805.0	2187.0			
Citrobacter sp. RHBSTW-00976	208.0	415.0	1224.0	184.0	208.0	111.0				3349.0									2515.0	4812.0	5128.0	3945.0	2009.0	3823.0	5934.0	1410.0			
Citrobacter sp. Colony322	35.0	33.0			32.0		3.0			72.0									47.0	52.0	49.0	26.0	22.0	24.0					
Citrobacter sp. RHBSTW-00127	194.0	381.0		83.0	95.0	102.0	61.0			1910.0									1249.0	2666.0	2573.0	4659.0	1691.0	4379.0	1678.0	716.0			
Citrobacter sp. SX212	463.0				407.0	223.0													319.0	3599.0	1041.0	711.0	2104.0		4078.0	1084.0			
Citrobacter sp. CF971	114.0			55.0	61.0					414.0									593.0	864.0	149.0	237.0	206.0	74.0	350.0	673.0			
Citrobacter koseri	4083.0	1036.0	971.0	295.0	149.0	134.0	79.0	18.0	23.0	665.0	31.0	14.0	53.0	66.0	426.0	68.0	539.0	1238.0	517.0	876.0	551.0	561.0	321.0	747.0	3119.0	558.0	73.0	1153.0	45.0
Citrobacter amalonaticus	1846.0	3663.0	944.0	754.0	548.0	324.0	88.0	21.0	27.0	2667.0	33.0	19.0	26.0	13.0	11.0	8.0		6.0	687.0	981.0	722.0	2467.0	2350.0	2311.0	1565.0	596.0	27.0	36.0	56.0
Citrobacter farmeri	77.0	112.0	20.0	77.0	63.0	67.0	69.0	84.0	112.0	561.0	82.0	80.0	98.0	91.0	97.0	119.0	74.0	80.0	374.0	115.0	75.0	84.0	49.0	82.0	13.0	529.0	75.0	29.0	4.0
Citrobacter pasteurii	158.0	183.0	183.0	99.0	83.0	89.0	25.0	21.0	9.0	23196.0	15.0	13.0	6.0	2.0	2.0	8.0	12.0	5.0	11278.0	22543.0	6298.0	27436.0	5983.0	1786.0	943.0	10210.0	17.0	9.0	7.0
Citrobacter rodentium	107.0	262.0	41.0	269.0	365.0	339.0	569.0	880.0	886.0	133.0	1031.0	714.0	1022.0	822.0	1043.0	1126.0	710.0	984.0	121.0	110.0	40.0	95.0	54.0	72.0	26.0	56.0	623.0	276.0	44.0
Citrobacter tructae	24.0	48.0	21.0	8.0	11.0	6.0	17.0	1.0	3.0	256.0		2.0	4.0	3.0		3.0	4.0	13.0	214.0	528.0	929.0	917.0	1362.0	1461.0	113.0	110.0	5.0	9.0	2.0
Citrobacter enshiensis	9.0	14.0	20.0	22.0	16.0	21.0	23.0	10.0	29.0	37.0	19.0	13.0	15.0	6.0	8.0	9.0	3.0	9.0	25.0	44.0	64.0	61.0	52.0	74.0	23.0	21.0	12.0	51.0	80.0
Citrobacter arsenatis	11.0	25.0	17.0	32.0	34.0	38.0	67.0	49.0	73.0	118.0	65.0	50.0	45.0	32.0	16.0	25.0	20.0	21.0	116.0	512.0	564.0	844.0	628.0	1055.0	227.0	88.0	34.0	210.0	194.0
Citrobacter europaeus	6.0		5.0			3.0	1.0			1128.0		1.0							1712.0	2328.0	168.0	259.0	594.0	545.0	1897.0	357.0			1.0
Lelliottia amnigena	135591.0	199281.0	145890.0	541039.0	529746.0	486970.0	635166.0	558323.0	881012.0	17185.0	913274.0	613212.0	556402.0	391993.0	142989.0	61030.0	13759.0	22261.0	16668.0	596113.0	2378793.0	2253323.0	1779318.0	1284901.0	413980.0	10582.0	488000.0	2216159.0	2665979.0
Lelliottia sp. JS-SCA-14	93.0	105.0	66.0	171.0	146.0	91.0	107.0	75.0	117.0	91.0	114.0	48.0	96.0	60.0	24.0	10.0	13.0	9.0	54.0	131.0	189.0	669.0	644.0	665.0	193.0	27.0	85.0	215.0	292.0
Lelliottia sp. AC1	110.0	181.0	45.0	243.0	262.0	184.0	275.0	260.0	387.0	66.0	423.0	245.0	272.0	157.0	65.0	51.0	13.0	22.0	48.0	142.0	518.0	483.0	371.0	243.0	64.0	47.0	203.0	1031.0	1241.0
Lelliottia sp. WB101	49.0	92.0	42.0	58.0	64.0	47.0	69.0	57.0	96.0	41.0	110.0	68.0	77.0	54.0	21.0	11.0			28.0	196.0	376.0	267.0	147.0	128.0	54.0	36.0	47.0	168.0	235.0
