#FeatureID	FAME000001_good_out	FAME000002_good_out	FAME000003_good_out	FAME000004_good_out	FAME000005_good_out	FAME000006_good_out	FAME000007_good_out	FAME000008_good_out	FAME000009_good_out	FAME000010_good_out	FAME000011_good_out	FAME000012_good_out	FAME000013_good_out	FAME000014_good_out	FAME000015_good_out	FAME000016_good_out	FAME000017_good_out	FAME000018_good_out	FAME000019_good_out	FAME000020_good_out	FAME000022_good_out	FAME000023_good_out	Name
1034944	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	Legionella tunisiensis
1035193	0	0	6	2	0	0	0	0	0	0	17	0	0	0	6	0	0	0	0	0	0	8	Capnocytophaga sp. oral taxon 326 str. F0382
1035195	0	0	0	6	25	10	0	0	0	0	8	0	0	0	0	11	18	6	0	0	0	6	Corynebacterium durum F0235
1035197	0	0	1	9	5	2	0	0	0	0	5	0	0	1	1	7	0	0	0	2	2	2	Prevotella sp. oral taxon 473 str. F0040
1035839	4624	425	5578	56	11134	2085	1730	4971	25	6480	35	21	6061	5337	226	5516	37	5673	37	4277	5692	85	Haemophilus sputorum CCUG 13788
1036674	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	2	0	0	Idiomarina sp. A28L
103733	0	2	0	4	4	2	2	2	0	0	0	0	0	6	4	0	0	0	1	0	0	0	Saccharothrix syringae
1037409	2	5	6	2	4	5	5	1	0	7	2	2	0	6	5	6	1	4	1	0	0	4	Bradyrhizobium japonicum USDA 6
103855	19	0	3	0	36	6	15	30	0	34	0	0	94	45	2	16	0	59	0	35	35	0	Bordetella hinzii
1038858	3	0	0	0	0	0	3	1	0	7	0	0	2	3	0	4	0	3	0	4	6	0	Azorhizobium doebereinerae UFLA1-100
1038860	7	3	1	11	3	10	0	0	2	5	2	3	4	5	3	4	4	0	0	2	0	2	Bradyrhizobium elkanii WSM2783
1040989	2	3	4	3	5	7	1	0	3	1	0	1	5	1	2	4	0	2	0	0	4	0	Bradyrhizobium sp. ARR65
1041139	1	0	0	0	0	0	0	1	0	2	0	0	3	3	0	0	0	1	0	0	0	0	Rhizobium giardinii bv. giardinii H152
1041147	0	0	1	0	5	2	0	3	0	2	0	0	2	3	0	2	0	1	1	0	3	0	Rhizobium leucaenae USDA 9039
1041522	34	22	57	39	45	0	51	17	2	3	34	16	24	28	68	22	54	4	35	11	0	25	Mycobacterium colombiense CECT 3035
1041826	5	0	0	0	3	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	Flavobacterium columnare ATCC 49512
1042156	2	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	2	0	0	2	0	Clostridium sp. SY8519
1042163	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	Brevibacillus laterosporus LMG 15441
1042375	13	0	0	1	17	2	5	9	0	16	16	0	32	27	1	28	2	28	0	16	30	0	Marinobacterium stanieri S30
1042377	4	1	0	0	6	0	0	2	0	1	0	1	9	7	0	6	0	6	0	4	6	0	Microbulbifer agarilyticus S89
1042378	0	0	0	0	0	0	1	3	0	4	1	0	5	2	0	6	0	9	0	4	16	0	Oceanicola sp. S124
104268	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	Tenacibaculum mesophilum
1043205	0	0	2	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	Serinicoccus profundi MCCC 1A05965
104336	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0	0	0	0	2	0	0	Microbacterium foliorum
1043493	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	Lysinimicrobium mangrovi
1044999	3626	917	3565	71	8338	8907	9055	4607	77	5926	5975	1062	5654	5562	964	5747	58	5640	7193	4514	5012	792	Erwinia tracheiphila PSU-1
1045004	5	0	0	0	5	0	1	1	0	4	0	0	0	2	0	0	0	1	0	3	2	0	Oenococcus kitaharae DSM 17330
1045009	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	Citricoccus sp. CH26A
1045854	1040	0	232	4	1234	4	79	275	0	376	2	0	309	454	0	103	2	171	0	412	284	2	Weissella koreensis KACC 15510
1045855	77	2	31	8	106	0	64	87	0	228	0	0	247	179	1	112	0	183	2	105	118	0	Pseudoxanthomonas spadix BD-a59
104623	799	1151	1056	84	1449	849	376	994	101	1133	261	5488	1207	1535	5445	1557	57	1464	3751	1304	1062	187	Serratia sp. ATCC 39006
1046599	53	0	12	0	82	2	7	23	0	32	0	0	36	22	0	6	0	16	0	73	17	0	Lactobacillus acidipiscis KCTC 13900
1046625	66809	296	6445	218	69127	241	25757	200385	160	170112	204	109	277201	192927	339	12703	312	63090	250	12308	178979	266	Acinetobacter lwoffii WJ10621
1046714	7	0	9	0	4	12	2	6	2	8	2	0	10	6	0	2	0	4	6	2	6	0	Gayadomonas joobiniege G7
1046935	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	BRC1 bacterium SCGC AAA257-C11
1048260	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Leptospirillum ferriphilum ML-04
1048339	0	1	1	0	0	0	0	0	0	1	0	0	4	0	3	1	0	2	2	0	0	2	Sporichthya polymorpha DSM 43042
1048380	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	Fusibacter sp. 3D3
1049581	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacillus cellulasensis
1049789	0	0	0	0	0	0	0	2	0	0	2	1	0	0	0	0	0	0	0	0	0	2	Leptospira broomii serovar Hurstbridge str. 5399
1050201	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Allobaculum stercoricanis DSM 13633
1050202	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	Actinopolyspora mortivallis DSM 44261
1050222	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	Paenibacillus sp. Aloe-11
1051006	4	0	4	0	16	0	4	12	1	28	0	0	57	15	0	2	0	3	1	2	4	0	[Propionibacterium] namnetense SK182B-JCVI
1051074	6283	33	525	20	6162	93	1162	3559	44	5325	31	14	5449	5090	32	1503	89	1696	3	3443	3402	23	Streptococcus thermophilus JIM 8232
1051646	37	0	10	36	42	114	38	21	51	22	35	0	30	48	30	30	33	36	3	24	29	7	Vibrio tubiashii ATCC 19109
1051650	151	0	10	0	152	10	18	37	0	37	0	0	35	54	0	13	2	26	0	57	63	0	Lactobacillus casei 12A
1051651	116	0	8	0	120	0	2	35	0	59	0	0	43	57	0	19	0	33	0	43	75	0	Lactobacillus casei 21/1
1051652	60	0	4	0	35	2	3	2	0	21	0	0	9	10	0	10	0	9	0	4	30	0	Lactobacillus casei 32G
1051655	97	0	6	0	113	2	16	15	0	24	0	0	18	24	0	10	0	8	0	33	52	0	Lactobacillus casei Lc-10
1051659	122	0	17	0	171	8	20	39	0	64	0	0	62	72	0	18	0	23	0	52	95	0	Lactobacillus casei UCD174
1051661	204	0	28	0	214	0	25	70	0	81	2	0	116	71	0	32	0	54	0	138	99	0	Lactobacillus casei UW4
1051973	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	Rhodococcus fascians D188
105219	1315	175	715	0	1486	133	876	1152	4	1465	245	0	1838	1520	544	1762	11	1957	404	1572	1724	337	Ralstonia mannitolilytica
1053189	20	0	0	0	0	1576	0	2	0	9	0	0	2	0	0	2	3	8	0	0	4	0	Bacillus cereus BAG5X1-1
1054213	0	0	0	0	0	0	0	0	1	2	0	0	2	0	2	0	0	0	0	0	0	0	Acetobacteraceae bacterium AT-5844
1054860	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Streptomyces purpureus KA281
1055192	591	0	147	4	1143	10	776	751	0	1920	6	0	4436	1975	8	921	7	1218	34	840	2087	153	Comamonas sp. B-9
105559	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	2	1	0	Nitrosococcus watsonii C-113
1056511	7	4	1	1	7	0	2	10	0	17	0	2	20	8	3	17	0	17	0	13	8	0	Photobacterium marinum
1056512	10	22	11	0	31	86	4	24	2	21	35	0	29	26	0	20	0	11	3	11	5	0	Grimontia indica
1056807	22	6	24	37	33	18	6	11	15	26	19	0	36	6	31	30	28	34	0	29	21	15	Morococcus cerebrosus
1056816	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	Nocardia sp. BMG51109
1056819	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	Teredinibacter turnerae T8412
1056820	3	0	0	0	3	0	1	4	0	3	0	0	4	2	0	4	0	8	0	9	2	0	Teredinibacter turnerae T7902
106370	0	0	1	0	0	2	0	0	0	0	0	0	0	1	1	3	0	2	0	0	0	2	Frankia casuarinae
1064535	4	0	0	0	4	1	0	0	0	8	0	0	0	2	0	0	0	2	0	2	2	0	Megasphaera elsdenii DSM 20460
1064537	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0	0	0	0	2	0	0	Brachybacterium paraconglomeratum LC44
106592	0	1	2	0	2	0	0	13	0	2	0	0	3	5	0	0	0	2	0	2	1	0	Ensifer adhaerens
106634	9	0	2	0	2	0	2	0	0	5	0	0	3	1	0	0	0	6	0	1	4	0	Thioalkalivibrio versutus
1068975	2	0	0	0	4	0	0	1	0	0	0	0	0	0	0	7	0	11	0	3	2	0	Acetobacterium dehalogenans DSM 11527
1068978	0	0	3	3	4	0	1	7	2	0	0	0	0	2	1	1	0	0	0	2	1	0	Amycolatopsis methanolica 239
1068980	0	2	0	0	8	2	2	0	0	0	0	3	2	0	0	2	0	0	1	2	0	0	Amycolatopsis nigrescens CSC17Ta-90
1069080	0	0	0	0	2	0	0	6	0	7	0	0	3	20	0	1	0	0	0	4	3	0	Succinispira mobilis DSM 6222
1069448	0	2	0	1	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	Nitriliruptor alkaliphilus DSM 45188
1069534	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	Lactobacillus ruminis ATCC 27782
1069642	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Bdellovibrio bacteriovorus str. Tiberius
1070130	0	0	0	0	2	4	3	0	0	5	0	0	6	2	2	0	0	0	8	0	4	57	Candidatus Gullanella endobia
1070319	2	0	0	0	0	0	2	6	0	7	1	0	4	2	0	0	0	7	0	0	0	0	Candidatus Glomeribacter gigasporarum BEG34
1070977	7	0	0	1	4	0	13	12	0	9	0	0	26	10	0	25	0	10	0	21	6	0	Teredinibacter turnerae T8513
1071080	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacillus sp. SB49
1071395	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacillus coagulans XZL4
1071400	36	0	2	0	50	2	0	2	0	8	0	2	4	2	0	4	0	1	0	13	3	0	Lactobacillus buchneri CD034
1072256	0	0	0	0	0	4	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	Corynebacterium uterequi
1072583	0	0	0	0	1	0	0	6	0	2	1	0	5	4	0	6	6	9	0	6	0	0	Halomonas boliviensis LC1
1072685	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	Basilea psittacipulmonis DSM 24701
1073423	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Carnobacterium iners
1073573	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	SAR324 cluster bacterium JCVI-SC AAA005
1073574	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	Gordonia araii NBRC 100433
1074049	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	Candidatus Burkholderia crenata
1074072	11	0	0	0	20	0	2	5	1	8	0	0	10	9	0	3	0	2	0	1	5	0	Streptococcus sobrinus TCI-348
1074073	10	0	6	0	14	0	3	13	0	7	0	0	9	13	0	3	2	3	0	6	3	0	Streptococcus sobrinus TCI-349
1074083	10	0	2	0	19	0	0	3	0	5	0	0	11	15	0	2	0	3	0	1	5	0	Streptococcus sobrinus TCI-376
1074090	45	0	3	0	58	0	16	26	0	43	0	0	56	45	0	22	0	30	0	22	25	0	Streptococcus sobrinus TCI-396
1074112	0	0	1	0	0	0	0	2	0	6	0	0	2	3	0	2	0	0	0	2	4	0	Streptococcus mutans TCI-99
1074115	2	0	0	0	3	0	0	4	0	0	0	0	1	6	0	0	1	0	0	0	1	0	Streptococcus mutans TCI-110
1074118	0	0	0	0	7	2	2	0	0	2	0	0	0	2	0	2	0	1	0	0	0	0	Streptococcus mutans TCI-120
1074122	2	0	0	0	0	1	0	1	0	1	0	0	2	0	0	0	2	0	0	0	3	0	Streptococcus mutans TCI-143
1074136	5	0	1	0	7	2	2	13	0	10	0	0	6	6	0	7	0	3	0	8	5	0	Streptococcus mutans TCI-164
1074143	3	0	0	0	6	2	0	0	0	2	0	0	7	2	0	2	0	4	0	0	0	0	Streptococcus mutans TCI-176
1074164	1	0	0	0	1	0	0	0	0	2	0	0	2	3	0	0	2	3	0	3	3	0	Streptococcus mutans TCI-224
1074173	4	0	0	0	6	4	4	5	0	4	0	0	5	11	0	3	2	5	0	6	10	0	Streptococcus mutans TCI-249
1074451	17	0	0	0	11	4	2	3	0	6	0	0	3	13	0	4	0	2	0	1	2	0	Lactobacillus curvatus CRL 705
1074467	0	0	0	0	1	2	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	Lactobacillus heilongjiangensis
1074488	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	Brachybacterium squillarum M-6-3
1075090	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Gordonia amarae NBRC 15530
1075768	5	0	0	0	5	0	0	2	0	9	0	0	12	13	0	14	0	28	0	5	34	0	Janthinobacterium sp. CG3
1076	32	0	42	3	43	12	30	38	3	65	8	1	110	78	0	108	0	142	2	118	74	0	Rhodopseudomonas palustris
1076414	0	0	0	0	0	263	0	0	2	0	0	0	0	0	0	0	7	0	0	0	0	0	Bacillus horikoshii DSM 8719
1076550	1080	2225	1802	1383	2367	6180	2724	1604	1896	2074	2687	172	2032	2581	2975	2100	1344	2124	5032	1801	1601	1331	Pantoea rwandensis
1076588	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	2	0	0	0	0	Thiolapillus brandeum
1076937	8	0	0	8	3	0	4	6	0	13	4	0	8	15	4	7	0	9	0	4	4	0	Fontimonas thermophila
1077947	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	Pseudorhodobacter antarcticus
1077972	2	0	0	1	0	2	2	2	0	1	3	0	2	0	1	0	4	0	4	0	2	0	Arthrobacter globiformis NBRC 12137
1078013	0	0	0	0	0	0	0	0	2	0	1	0	0	2	0	0	1	1	0	0	0	0	Mycobacterium avium subsp. avium Env 77
1078020	0	1	0	0	1	0	2	2	2	0	0	0	0	4	2	0	2	0	1	0	0	2	Mycobacterium thermoresistibile ATCC 19527
1078085	0	0	2	2	0	893	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	Paenisporosarcina sp. HGH0030
1078091	0	0	4	0	2	0	2	0	0	0	0	0	2	4	0	2	0	2	0	0	10	0	Coprococcus sp. HPP0048
1078846	0	0	2	1	4	0	0	4	2	2	0	1	2	0	4	3	3	1	0	0	0	0	Methylovulum miyakonense HT12
1079	0	0	0	0	0	0	0	0	0	1	0	0	2	0	1	2	0	0	0	1	1	0	Blastochloris viridis
1080228	2	0	4	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Synechocystis sp. PCC 6803 substr. GT-I
1080229	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Synechocystis sp. PCC 6803 substr. PCC-N
1081640	0	2	0	2	1	0	2	1	0	1	0	0	1	1	0	3	3	1	0	4	3	0	Sphingomonas elodea ATCC 31461
1081736	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Listeria fleischmannii subsp. coloradonensis
1082479	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	Limimonas halophila
1082931	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	Pelagibacterium halotolerans B2
1082933	0	3	2	2	1	0	0	1	0	0	0	1	1	0	1	2	0	0	1	3	3	0	Mesorhizobium amorphae CCNWGS0123
1085623	2	1	2	0	10	2	0	1	0	8	0	0	16	12	1	12	0	10	4	4	4	0	Glaciecola nitratireducens FR1064
1087481	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Paenibacillus peoriae KCTC 3763
1088721	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	Novosphingobium pentaromativorans US6-1
1089453	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Gordonia sputi NBRC 100414
1089455	0	0	4	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	Mobilicoccus pelagius NBRC 104925
1089544	2	0	2	2	1	0	0	0	0	0	0	0	1	0	3	2	2	5	3	0	0	2	Amycolatopsis benzoatilytica AK 16/65
1089546	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	Actinopolyspora halophila DSM 43834
1089548	2	0	0	0	6	4	0	2	0	0	0	0	2	4	0	1	0	0	0	2	0	0	Thermicanus aegyptius DSM 12793
1089550	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Salisaeta longa DSM 21114
1089551	1	0	1	0	1	0	6	1	1	1	0	0	5	1	4	0	0	1	0	0	0	0	Geminicoccus roseus DSM 18922
1089552	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	Rhodovibrio salinarum DSM 9154
1090319	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	Sphingomonas phyllosphaerae FA2
1091494	0	0	0	0	0	0	0	2	0	0	0	0	1	0	1	0	0	2	0	2	0	0	Methylomicrobium alcaliphilum 20Z
1094466	27	0	1	0	7	0	0	1	0	0	0	0	3	0	0	2	0	2	0	0	0	0	Flavobacterium indicum GPTSA100-9 = DSM 17447
1094714	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	Fluoribacter dumoffii Tex-KL
1094715	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	Fluoribacter dumoffii NY 23
1094954	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	candidate division TM7 bacterium JGI 0001002-L20
1095552	1	0	0	4	3	0	4	6	0	1	0	0	6	12	0	4	2	7	0	5	1	2	Methylobacter luteus IMV-B-3098
1095745	2	0	5	34	123	2	0	1	2	4	27	4	2	3	1	20	96	4	0	3	5	23	Haemophilus parainfluenzae HK262
1095746	0	0	0	37	220	7	3	2	0	2	25	10	2	3	0	21	133	2	1	6	0	16	Haemophilus parainfluenzae HK2019
1095749	1	0	0	0	4	4	0	2	2	0	0	0	2	3	0	4	0	4	0	2	0	0	Pasteurella bettyae CCUG 2042
1095767	0	0	0	0	0	0	4	0	0	0	0	0	5	0	0	0	1	0	0	0	0	0	Cellulomonas massiliensis JC225
