Subsystem 3	FAME000104	FAME000105	FAME000106	FAME000107	FAME000108	FAME000109	FAME000110	FAME000111	FAME000112	FAME000113	FAME000114	FAME000115	FAME000116	FAME000117	FAME000118	FAME000119	FAME000120	FAME000121	FAME000122	FAME000123	FAME000124	FAME000125	FAME000126	FAME000127	FAME000128	FAME000129	FAME000130	FAME000131	FAME000132
Acetone Butanol Ethanol Synthesis	0.0101165902285514	0.018903532194791	0.0140244630504639	0.0300692359324709	0.0118245863375731	0.012406950424758	0.0124553918060846	0.0090483060836634	0.0088013538351111	0.0088540140498813	0.0088357111506025	0.0157653364148291	0.0086908982459415	0.0090706979204776	0.0086047883981805	0.0093058912697762	0.009334463937206	0.009120822452413	0.0095789981357235	0.0096754148785733	0.0079459763730868	0.0115546835809139	0.0149562905539791	0.016590287719537	0.0262573174240456	0.0265684799964767	0.0389930548164023	0.0409480385439857	0.0058756251077662
Acetone carboxylase	5.376375881792852e-05																					0.0002222738961536							
Acetone carboxylase subunits 2	7.168501175723802e-05																					1.7097992011818132e-05							
Acetophenone carboxylase 1	2.6881879408964255e-05																												
Acetyl-CoA fermentation to Butyrate	0.1159306511935172	0.1063549550678146	0.1107594904505428	0.1196412003128682	0.0822763293567548	0.0858352521074098	0.0694699593234953	0.0423666496513789	0.0397197241403056	0.0387658807635154	0.0364411103099859	0.1215087760730594	0.0374441085387475	0.0368620931177204	0.0375476904441902	0.0373378144835474	0.0372388211281358	0.0372172005483302	0.0376536567264992	0.0382837825788451	0.0385891937798751	0.1069081388739998	0.1050487619421259	0.0917642735433585	0.1116700744376561	0.1242462724431071	0.144575922874924	0.1454738653994673	0.0406810610705725
Acyclic terpenes utilization	0.0002150550352717				6.835470899007967e-05							0.0004472944556174	3.786701181185699e-05								2.7728574961984124e-05	0.0004696248472579	8.382029933665813e-05	5.8654345113886034e-05	1.0077806714520128e-05	1.204476219062426e-05			
Acyl Homoserine Lactone (AHL) Autoinducer Quorum Sensing_	0.023669494819593	0.0019756338491932	0.0022497158930215	0.0007957889298414	0.0022557053966726	0.0024745422627073	0.0038324427635318	0.0045615032197921	0.0030612135568903	0.0013285499629998		0.0321492889975068							3.481318375268714e-05	2.057614438856649e-05	2.7728574961984124e-05	0.036658094873338	0.0234936324712176	0.0028568116326057	0.0030838088546431	0.0017826248042123	0.0020027214122962	0.0022416186388551	
Acyl-CoA thioesterase II	0.0067294304787107	0.020963670288662	0.0218543829607803	0.0259855692859752	0.0245393405274385	0.0244037001241277	0.0232667127032939	0.0220472655623284	0.0217091061409474	0.0207106177565425	0.0247726006340424	0.0098963898305369	0.0225908281300903	0.0228951917582338	0.0230787116218262	0.0228613926306663	0.022535636541507	0.0234313699892386	0.0236961737409957	0.0226028946108403	0.0241469673627279	0.0118888037788842	0.0171771741997765	0.0177688163139125	0.0176865507839828	0.0194563058585883	0.0225115423510729	0.0262258059439801	0.0248454885833282
Adaptation to d-cysteine	0.015571776678966	0.0490362905122536	0.0585226094304662	0.0488634807766981	0.0524485682080881	0.0522694027091288	0.0483585671300847	0.0460904072461139	0.0495627481602531	0.0490810641330923	0.0478806107032579	0.0270221762999914	0.0487398931367681	0.0496095422201168	0.04967572973737	0.0449314011532644	0.0513801493275192	0.0487517141429248	0.0488687580272363	0.0483073490433371	0.0449327692971471	0.0230526526964673	0.0316188130590589	0.041750162852064	0.0392187926102265	0.043007830861989	0.0463610933409322	0.0450871021678829	0.0405869341383422
Additional flagellar genes in Vibrionales	0.0166130014747399	0.0012347711557458	0.0022497158930215	0.0014079342604886	0.0019822865607123	0.0019089326026599	0.0016323367326154	0.003041002146528	0.0021428494898232	0.0005757049839666	7.562228634151855e-05	0.0228120172364918				4.400653056913647e-05		3.677431858107027e-05	3.481318375268714e-05	2.057614438856649e-05	5.545714992396825e-05	0.0285878426437599	0.0153391147786084	0.0021115564240998	0.0016023712676087	0.0010599390727749	0.0022029935535258	0.0018680155323793	
Adenosyl nucleosidases	0.0267182418985467	0.0143926761600452	0.0140527777467983	0.0207801587837325	0.0161221658282064	0.0148552783869592	0.0156156936919209	0.0145935305241872	0.0145463247163904	0.0131299525657882	0.0145768504307375	0.0210598745471778	0.0140869932726328	0.013165148993636	0.0134195426415966	0.0137064075351517	0.0122353397032088	0.0137974643111831	0.0133232561164919	0.0125665077865665	0.0157260331422124	0.0209599250897741	0.0198261315168001	0.0226458661122551	0.0255801342609655	0.0231993213967986	0.0216358918483863	0.021635614178632	0.0167543481995752
Adhesins in Staphylococcus	0.002983888614395	0.0034985182746131	0.0038566558166083	0.0018364359919417	0.0019139318517222	0.0026159446777191	7.097116228762767e-05	5.243107149186323e-05				0.0023948890644519										0.0022569349455599	0.0015746241946815	0.0029810208340233	0.0016326046877522	0.0021439676699311	0.0030040821184443	0.0028869330954953	
Adhesion of Campylobacter	0.0160216001277427	0.0019207551311601	0.0017676339159454	0.0018976505250064	0.0007177244443958	0.0015200759613773	0.0006742260417324	0.0005243107149186	0.0003826516946112	0.0005978474833499	0.0003339984313417	0.0095609189888237	0.0004354706358363	0.0002155686944674	0.0007469458533205	0.000660097958537	0.000550993558472	0.0005148404601349	0.0005686153346272	0.0003909467433827	0.0004713857743537	0.0094722875745472	0.0097950006939123	0.0101230499155377	0.013040681888589	0.0071545887412308	0.0039148435226076	0.0042794537650871	0.0003675925852616
Agrobacterium opine transport	5.376375881792852e-05	8.231807704972011e-05																					3.592298542999634e-05	4.140306713921367e-05	0.0001209336805742			3.3963918770533313e-05	
Alanine biosynthesis	0.0967908411767017	0.0920504622513184	0.0914586170590984	0.0817907536508614	0.0917051493264602	0.0922071654547699	0.0900447430968935	0.0913058640028816	0.0893250710113609	0.0883055953466886	0.0858189426859946	0.1031688521862758	0.0891321050279193	0.083042638162206	0.0908228625857046	0.0887914514125761	0.0916114641681004	0.0902500870378503	0.0925605703436668	0.0958674859676736	0.0915747761698616	0.1038550590261038	0.0918708598625751	0.077996146855658	0.0793017155275728	0.0791893631439091	0.0806816855324485	0.0841625701668882	0.0918732871986971
Alcaligin Siderophore	0.0001075275176358	0.0018109976950938	0.002056883102191	0.0011630761282297	0.0021189959786924	0.001767530187648	0.0020581637063412	0.0023069671456419	0.0024489708455122	0.0025685299284664	0.0018527460153672	0.0001304608828884	0.0021584196732758	0.0017784417293567	0.0024132096799586	0.0021123134673185	0.002355497462468	0.0023535563891884	0.00233248331143	0.002942388647565	0.0012200572983273	0.0002051759041418	0.0004310758251599	0.0002484184028352	0.0003325676215791	0.0006263276339124	0.0004577648942391	0.0002717113501642	5.655270542487483e-05
Alginate metabolism	0.0784923996862347	0.0890818790473054	0.0946219791672023	0.0939234985656414	0.11010804373152	0.1099050270679572	0.1027130146207691	0.1041586927745439	0.1090132161092622	0.1070220803527684	0.1160770586056334	0.0426933239252399	0.1161696810701419	0.1139011089392565	0.1092583874677552	0.104255138129165	0.097594734044363	0.0967317805009569	0.0940623214011146	0.097127974907529	0.1257167374484756	0.0486494866042931	0.0626466930077944	0.1341942411093813	0.1112514277732663	0.1288829703604098	0.1067307461224452	0.0980368515311444	0.1701011124671193
Alkaloid biosynthesis from L-lysine	0.0015860308851288	4.115903852486006e-05	3.2138798471735856e-05		3.417735449503984e-05		3.5485581143813834e-05	5.243107149186323e-05			3.781114317075927e-05	0.0011834665804879	3.155584317654749e-05	5.389217361687085e-05	1.9152457777449207e-05	2.2003265284568234e-05	2.066225844270212e-05		1.740659187634357e-05	1.7146786990472073e-05	1.3864287480992062e-05	0.0009916835366854	8.382029933665812e-05	8.280613427842735e-05	3.0233420143560388e-05	1.605968292083235e-05	6.198899609488399e-05		8.482905813731224e-05
Alkane biosynthesis in bacteria	0.0002957006734986	0.0001097574360662	0.0003213879847173		6.835470899007967e-05	7.070120750592298e-05		5.243107149186323e-05		0.0001328549962999		0.0005032062625696	0.0001136010354355	0.0002335327523397	8.937813629476295e-05	0.0002420359181302	4.132451688540424e-05	3.677431858107027e-05	3.481318375268714e-05	4.115228877713298e-05		0.000592730389743	0.0002334994052949	8.280613427842735e-05	1.5116710071780194e-05	5.620889022291321e-05	6.198899609488399e-05	0.0001415163282105	0.0002733380762202
Alkane synthesis in bacteria 2	2.6881879408964255e-05					2.3567069168640992e-05									1.2768305184966135e-05				1.740659187634357e-05										
Alkanesulfonate assimilation	0.1395429399492862	0.101120897815827	0.0987960341105616	0.0952855219263316	0.1238487945940364	0.1336032193980365	0.1332676100103223	0.1288012963757197	0.1290907605565904	0.1336067734138031	0.1351748368354644	0.1282588895579668	0.1391336738308179	0.1297498989970847	0.1346944813926144	0.1300319634100367	0.1285158038038666	0.1255054026964062	0.1124879396082615	0.1052277157740474	0.124910888029678	0.1427864711568273	0.1319376733756967	0.1276573868592184	0.1030128207841461	0.1172945252667349	0.111110030277333	0.0942690244573239	0.1519476940257345
Alkanesulfonates Utilization	0.0306229409600451	0.0544122489298649	0.047319024283219	0.0575008513921307	0.0566774462042743	0.0590590753366143	0.0596098620580832	0.0597364674530628	0.0602463834738005	0.0634485938996233	0.0640898876744369	0.0389071627311277	0.0657181989994778	0.0595688159045145	0.0640138980448277	0.0641578543589202	0.0623001529144873	0.0631598921629881	0.063278763667801	0.0613083368844329	0.0590572432398658	0.039610348160712	0.0460951774709236	0.060073780265642	0.0517394596723463	0.0561823917460938	0.0611960137833009	0.0592755292342732	0.0576177813770433
Alkylphosphonate utilization	0.0935937434755439	0.2306552518933157	0.1990891435995797	0.2532037136000533	0.2574466189596367	0.2682403812774718	0.2976885402154542	0.2859765409404527	0.2935533733638026	0.2951226126141686	0.3014997537864393	0.1292867349424379	0.3032667997313461	0.289562648843447	0.3172183276763358	0.2996184633799656	0.3077367898261244	0.3029345783646632	0.2996718857431309	0.3128602754281535	0.3275622774550787	0.1210195874596487	0.1868653830426026	0.2794431011449328	0.2425274574882841	0.262848830365263	0.2636010533170217	0.2602536221670271	0.3595715265422583
Allantoin Utilization	0.0184617067243792	0.0589485629615692	0.0787246657764239	0.0336075073969747	0.0494952275181952	0.038902487004228	0.0334142262928711	0.029505335810277	0.0283219270536391	0.0270375071734238	0.0249006633749005	0.0310785113326976	0.0255357939795645	0.0256409980040135	0.0270808796381324	0.0278969446684935	0.0271834639906325	0.0291490704765816	0.0268779691124346	0.0275483125425916	0.0250776859713409	0.0249361186450834	0.0286171801147891	0.0207874449339207	0.0225069816885388	0.0227171024415986	0.0271286667036147	0.0288558512020855	0.0183335792029526
Alpha-Amylase locus in Streptocococcus	0.0292349399198955	0.0648721325869827	0.0652706858162484	0.0678736540199483	0.0444487887659492	0.0318838878782544	0.0282027570403984	0.029151675749476	0.028229491017124	0.0242674412408185	0.0258785765717871	0.0323747999522141	0.0252667636314615	0.0260748300016294	0.0263250532151039	0.0266056149399238	0.0252685645915285	0.0273717382252002	0.0419951435608665	0.0512568903506179	0.0472624317368696	0.0306931753934818	0.0297160922641166	0.0305954865136408	0.0394536055066745	0.0395445602401115	0.0608350470906562	0.0709534566382082	0.032451827462974
Alpha-acetolactate operon	0.0057840843861621	0.0034230600373175	0.0022282900273736	0.0089781315161594	0.0053373635269753	0.0045955784878849	0.0046604396568875	0.0046576268508605	0.0032950562591528	0.0027936453388636	0.0039827737473199	0.0052976437087196	0.0040359923422804	0.0039431107029677	0.0024387462903285	0.0015475629916812	0.0007335101747159	0.0002819364424548	0.0001073406499041	6.515779056379389e-05	0.0062250650789654	0.0060070945268187	0.00811560112506	0.0150258631159396	0.0163890331694882	0.0135423276229919	0.0142503165253507	0.0140723836772576	0.0120410135300462
