Subsystem 3	FAME000001_good_out_R1.fastq	FAME000002_good_out_R1.fastq	FAME000003_good_out_R1.fastq	FAME000004_good_out_R1.fastq	FAME000005_good_out_R1.fastq	FAME000006_good_out_R1.fastq	FAME000007_good_out_R1.fastq	FAME000008_good_out_R1.fastq	FAME000009_good_out_R1.fastq	FAME000010_good_out_R1.fastq	FAME000011_good_out_R1.fastq	FAME000012_good_out_R1.fastq	FAME000013_good_out_R1.fastq	FAME000014_good_out_R1.fastq	FAME000015_good_out_R1.fastq	FAME000016_good_out_R1.fastq	FAME000017_good_out_R1.fastq	FAME000018_good_out_R1.fastq	FAME000019_good_out_R1.fastq	FAME000020_good_out_R1.fastq	FAME000022_good_out_R1.fastq	FAME000023_good_out_R1.fastq
A Gammaproteobacteria Cluster Relating to Translation	7389.0	3255.0	10543.0	5324.0	13591.0	6161.0	6639.0	9697.0	5495.0	11758.0	6921.0	3339.0	11881.0	13325.0	6740.0	13516.0	6093.0	14383.0	8144.0	11921.0	10471.0	3997.0
A Glutathione-dependent Thiol Reductase Associated with a Step in Lysine Biosynthesis	1541.0	750.0	2247.0	1345.0	2951.0	1379.0	1591.0	2258.0	1404.0	2744.0	1193.0	334.0	2950.0	3242.0	1530.0	2961.0	1510.0	3210.0	1602.0	2716.0	2474.0	968.0
A Gram-positive cluster that relates ribosomal protein L28P to a set of uncharacterized proteins	6067.0	28.0	795.0	19.0	5364.0	2824.0	985.0	3146.0	26.0	3775.0	12.0	23.0	4523.0	5023.0	30.0	1157.0	46.0	1543.0	14.0	3066.0	2727.0	18.0
A Hypothetical Protein Related to Proline Metabolism	2014.0	752.0	2317.0	1233.0	3354.0	2198.0	1405.0	2306.0	1252.0	2969.0	1500.0	678.0	3160.0	3574.0	1368.0	2539.0	1263.0	2878.0	2090.0	2479.0	2433.0	711.0
A TRAP transporter and a hypothetical	222.0	0.0	16.0	1.0	234.0	917.0	101.0	532.0	1.0	560.0	0.0	0.0	838.0	546.0	2.0	223.0	1.0	372.0	0.0	212.0	582.0	2.0
A conserved operon linked to TyrR and possibly involved in virulence	2554.0	1129.0	3605.0	1893.0	4727.0	2375.0	2271.0	3282.0	2015.0	3989.0	1818.0	1857.0	3897.0	4521.0	2236.0	4619.0	2188.0	4944.0	2841.0	3973.0	3538.0	1501.0
A toxin-antitoxin module cotranscribed with DinB	82.0	0.0	105.0	0.0	176.0	1.0	10.0	95.0	1.0	88.0	0.0	0.0	68.0	93.0	0.0	104.0	0.0	91.0	0.0	125.0	73.0	1.0
ABC transporter alkylphosphonate (TC 3.A.1.9.1)	6150.0	2364.0	6766.0	3998.0	10101.0	4751.0	4351.0	6570.0	4129.0	8262.0	3770.0	2802.0	8439.0	10164.0	4609.0	7569.0	4131.0	8690.0	5884.0	7483.0	6948.0	2708.0
ABC transporter branched-chain amino acid (TC 3.A.1.4.1)	16320.0	10745.0	21479.0	17489.0	31023.0	21404.0	17556.0	21265.0	18115.0	27502.0	18703.0	12658.0	29367.0	32813.0	20647.0	26824.0	19058.0	29335.0	20110.0	23888.0	23601.0	11839.0
ABC transporter dipeptide (TC 3.A.1.5.2)	23235.0	16948.0	35686.0	25374.0	49022.0	29774.0	25488.0	32671.0	26130.0	41392.0	22126.0	42116.0	41315.0	47440.0	29314.0	40670.0	26912.0	45414.0	34454.0	35656.0	34825.0	16907.0
ABC transporter of unknown substrate X	126.0	14.0	134.0	5.0	171.0	445.0	43.0	118.0	5.0	146.0	2.0	3418.0	155.0	117.0	16.0	85.0	0.0	148.0	0.0	128.0	168.0	1.0
ABC transporter oligopeptide (TC 3.A.1.5.1)	32391.0	15963.0	29813.0	21312.0	49714.0	27414.0	24516.0	34489.0	22597.0	42601.0	24193.0	24311.0	43509.0	50305.0	27095.0	41615.0	24110.0	46285.0	23533.0	40654.0	37470.0	15136.0
ABC transporter tungstate (TC 3.A.1.6.2)	495.0	2.0	48.0	1.0	450.0	162.0	190.0	561.0	6.0	662.0	2.0	72.0	893.0	728.0	5.0	1314.0	7.0	1415.0	1.0	1092.0	1051.0	0.0
ABC-type iron transport system	332.0	429.0	293.0	1.0	698.0	699.0	162.0	452.0	2.0	616.0	532.0	426.0	524.0	637.0	20.0	427.0	3.0	550.0	0.0	292.0	461.0	1.0
ATP-dependent Nuclease	3441.0	12.0	379.0	10.0	2505.0	2659.0	377.0	1308.0	17.0	1440.0	8.0	6.0	2031.0	2158.0	13.0	351.0	31.0	473.0	27.0	1457.0	1221.0	7.0
ATP-dependent RNA helicases, bacterial	14536.0	5403.0	15229.0	9107.0	22339.0	14105.0	10890.0	17506.0	9536.0	21028.0	8399.0	7633.0	22465.0	24957.0	10690.0	22614.0	10205.0	25050.0	13318.0	21869.0	20043.0	6171.0
ATP-dependent efflux pump transporter Ybh	7688.0	3784.0	10931.0	6694.0	14512.0	7421.0	7360.0	10764.0	6688.0	12814.0	5984.0	5077.0	12865.0	15091.0	7731.0	13435.0	6620.0	14942.0	9493.0	11936.0	11277.0	3929.0
Accessory colonization factor	399.0	6.0	1647.0	2.0	1591.0	4.0	103.0	816.0	2.0	727.0	0.0	1.0	511.0	1040.0	4.0	932.0	4.0	883.0	3.0	1139.0	636.0	0.0
Acetoin, butanediol metabolism	19386.0	7969.0	16274.0	7974.0	30342.0	20493.0	10794.0	20191.0	8696.0	25599.0	11416.0	6061.0	27096.0	30051.0	8975.0	21039.0	9037.0	24617.0	17158.0	22071.0	21425.0	6551.0
Acetone Butanol Ethanol Synthesis	4080.0	2881.0	9484.0	2579.0	9743.0	3519.0	2916.0	5665.0	2707.0	6537.0	2266.0	291.0	5460.0	7864.0	2725.0	7663.0	2878.0	7733.0	2345.0	7633.0	5423.0	2154.0
Acetone carboxylase	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	2.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
Acetone carboxylase subunits 2	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Acetyl-CoA fermentation to Butyrate	14484.0	8065.0	23089.0	8834.0	28274.0	21841.0	11197.0	20598.0	8333.0	25983.0	6881.0	1219.0	27893.0	29375.0	9958.0	25606.0	9498.0	28436.0	11421.0	24016.0	23058.0	5781.0
Acyclic terpenes utilization	42.0	1.0	3.0	0.0	75.0	18.0	44.0	47.0	1.0	162.0	0.0	0.0	336.0	212.0	1.0	17.0	1.0	52.0	3.0	10.0	126.0	0.0
Acyl Homoserine Lactone (AHL) Autoinducer Quorum Sensing_	743.0	3.0	37.0	2.0	615.0	2.0	348.0	978.0	3.0	1010.0	2.0	2.0	1284.0	1145.0	4.0	1735.0	9.0	1917.0	1.0	1797.0	1492.0	5.0
Acyl-CoA thioesterase II	1279.0	635.0	1727.0	1214.0	2328.0	1359.0	1223.0	2047.0	1206.0	2530.0	1120.0	44.0	2778.0	2867.0	1325.0	2136.0	1165.0	2459.0	1494.0	1910.0	2147.0	713.0
Adaptation to d-cysteine	2558.0	1499.0	4145.0	2201.0	5283.0	2849.0	2478.0	3448.0	2332.0	4308.0	2461.0	3009.0	4076.0	4829.0	2633.0	4340.0	2717.0	4713.0	3118.0	3968.0	3602.0	1719.0
Additional flagellar genes in Vibrionales	589.0	0.0	23.0	4.0	373.0	1.0	270.0	676.0	2.0	706.0	0.0	1.0	899.0	793.0	4.0	1347.0	6.0	1433.0	3.0	1289.0	1146.0	5.0
Adenosyl nucleosidases	2530.0	1695.0	2703.0	1680.0	4052.0	3362.0	1836.0	2931.0	1717.0	3743.0	1895.0	1165.0	3899.0	4412.0	1804.0	3653.0	1617.0	4039.0	3117.0	3562.0	3172.0	1702.0
Adhesins in Staphylococcus	3042.0	8.0	485.0	3.0	3121.0	29.0	371.0	1115.0	5.0	1537.0	5.0	0.0	1794.0	1932.0	1.0	369.0	29.0	692.0	1.0	1296.0	1150.0	2.0
Adhesion of Campylobacter	991.0	12.0	200.0	16.0	848.0	735.0	194.0	538.0	105.0	607.0	127.0	78.0	733.0	743.0	78.0	277.0	96.0	325.0	197.0	459.0	480.0	77.0
Agrobacterium opine transport	14.0	0.0	1.0	0.0	4.0	0.0	1.0	4.0	0.0	4.0	0.0	1.0	8.0	4.0	1.0	5.0	0.0	2.0	0.0	2.0	6.0	0.0
Alanine biosynthesis	12275.0	5540.0	15727.0	9001.0	21763.0	11876.0	10058.0	15330.0	9598.0	18953.0	9118.0	1874.0	19885.0	22562.0	10576.0	19556.0	10054.0	21361.0	11831.0	18615.0	16660.0	6152.0
Alcaligin Siderophore	8.0	1.0	29.0	74.0	9.0	0.0	67.0	12.0	98.0	14.0	0.0	0.0	14.0	37.0	112.0	27.0	111.0	18.0	1.0	17.0	17.0	149.0
Alginate metabolism	1958.0	3004.0	3565.0	4204.0	4537.0	5613.0	3876.0	2980.0	4689.0	5098.0	4170.0	876.0	6072.0	5542.0	5585.0	3993.0	4887.0	4469.0	12279.0	3370.0	3430.0	3032.0
Alkaloid biosynthesis from L-lysine	185.0	2.0	434.0	0.0	487.0	4.0	34.0	287.0	2.0	230.0	2.0	0.0	167.0	340.0	5.0	300.0	1.0	253.0	2.0	367.0	198.0	2.0
Alkane biosynthesis in bacteria	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Alkane synthesis in bacteria 2	3.0	0.0	3.0	1.0	4.0	2.0	4.0	1.0	1.0	9.0	0.0	0.0	32.0	1.0	2.0	7.0	3.0	13.0	0.0	2.0	6.0	3.0
Alkanesulfonate assimilation	12541.0	3463.0	15873.0	6010.0	26840.0	10858.0	9624.0	17693.0	9515.0	24245.0	5418.0	7824.0	26042.0	25074.0	10747.0	19345.0	6287.0	22798.0	12957.0	17477.0	19894.0	3834.0
Alkanesulfonates Utilization	6321.0	2513.0	8454.0	4335.0	14764.0	8314.0	5929.0	9335.0	4390.0	13065.0	3971.0	5207.0	13747.0	12766.0	5055.0	9180.0	4523.0	11311.0	6445.0	7797.0	10076.0	2724.0
Alkylphosphonate utilization	11316.0	7089.0	20587.0	13776.0	23997.0	15737.0	12607.0	15273.0	14687.0	19118.0	11649.0	8325.0	18651.0	24908.0	15327.0	21385.0	14207.0	22963.0	19981.0	18239.0	16385.0	9531.0
Allantoin Utilization	6603.0	1948.0	9437.0	2960.0	12881.0	3154.0	4053.0	8242.0	3167.0	9926.0	1862.0	10429.0	9730.0	11269.0	3532.0	9492.0	3333.0	10353.0	1901.0	9347.0	8486.0	1923.0
Alpha-Amylase locus in Streptocococcus	4738.0	2924.0	4616.0	3852.0	7406.0	2696.0	3723.0	5014.0	3856.0	6034.0	1825.0	3629.0	6154.0	7540.0	3860.0	5523.0	3892.0	6437.0	3276.0	5640.0	5487.0	2192.0
Alpha-acetolactate operon	2551.0	999.0	1005.0	13.0	3687.0	3029.0	734.0	2268.0	9.0	2844.0	2426.0	896.0	3023.0	3113.0	8.0	1608.0	8.0	2020.0	2466.0	1769.0	1987.0	7.0
Amidase clustered with urea and nitrile hydratase functions	1652.0	259.0	1240.0	775.0	3409.0	832.0	1158.0	1862.0	708.0	3003.0	556.0	193.0	3022.0	2382.0	906.0	1372.0	695.0	1913.0	702.0	1035.0	1962.0	458.0
Amino acid racemase	4759.0	2060.0	5388.0	3359.0	7983.0	2794.0	3585.0	5521.0	3480.0	6988.0	2114.0	320.0	7635.0	8243.0	3642.0	7151.0	3329.0	7830.0	4830.0	7058.0	6597.0	2201.0
Aminoglycoside adenylyltransferases	412.0	1.0	434.0	0.0	503.0	90.0	149.0	438.0	1.0	513.0	0.0	1.0	495.0	519.0	1.0	615.0	3.0	577.0	2.0	581.0	487.0	3.0
Ammonia assimilation	32555.0	15211.0	38370.0	22829.0	53143.0	33447.0	25798.0	41097.0	24231.0	50739.0	20191.0	18670.0	55790.0	61135.0	26358.0	52107.0	25247.0	57401.0	31335.0	49195.0	46591.0	17175.0
An Arabinose Sensor	11.0	1.0	0.0	0.0	7.0	197.0	1.0	1.0	0.0	10.0	0.0	0.0	5.0	2.0	0.0	10.0	5.0	13.0	21.0	10.0	7.0	0.0
Anaerobic Aromatic Degredation (benzoate)	6.0	0.0	2.0	0.0	9.0	1.0	10.0	5.0	1.0	19.0	0.0	1.0	66.0	29.0	2.0	4.0	0.0	16.0	0.0	12.0	25.0	1.0
Anaerobic Oxidative Degradation of L-Ornithine	1.0	0.0	0.0	0.0	0.0	3.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	6.0	0.0	2.0	1.0	0.0
Anaerobic benzoate metabolism	782.0	332.0	1996.0	564.0	1933.0	251.0	724.0	1204.0	622.0	1759.0	266.0	4.0	1834.0	1986.0	779.0	1727.0	659.0	1880.0	749.0	1680.0	1438.0	385.0
Anaerobic respiratory reductases	17697.0	6240.0	30138.0	13072.0	35846.0	29376.0	16615.0	25212.0	13607.0	31629.0	13068.0	8136.0	31620.0	35644.0	17399.0	32806.0	13803.0	34811.0	12692.0	29251.0	26057.0	9875.0
Archaeal lipids	8576.0	2436.0	8051.0	3163.0	12957.0	6547.0	4463.0	8070.0	3341.0	10211.0	3264.0	299.0	10579.0	12085.0	3985.0	8881.0	3497.0	10028.0	3693.0	9116.0	8148.0	2081.0
Archease	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
Archease2	2.0	0.0	0.0	0.0	1.0	0.0	2.0	2.0	0.0	1.0	0.0	0.0	1.0	2.0	0.0	3.0	0.0	2.0	0.0	2.0	0.0	0.0
Arginine Biosynthesis extended	22090.0	9335.0	23411.0	12509.0	34658.0	20603.0	15077.0	26010.0	13040.0	31866.0	12866.0	6551.0	34312.0	38068.0	14089.0	31460.0	14071.0	35113.0	18440.0	31102.0	28996.0	8432.0
Arginine Deiminase Pathway	14967.0	6672.0	12393.0	3872.0	20828.0	13172.0	7035.0	14824.0	4105.0	18385.0	9563.0	4682.0	19501.0	22393.0	4410.0	19320.0	4285.0	21096.0	12049.0	20427.0	16759.0	2705.0
Arginine and Ornithine Degradation	51144.0	22420.0	62924.0	28533.0	88978.0	51217.0	37639.0	62578.0	30219.0	78300.0	30720.0	24036.0	79883.0	89562.0	35183.0	81496.0	30561.0	89761.0	55338.0	76761.0	68759.0	19469.0
Aromatic Amin Catabolism	5476.0	4821.0	8535.0	7224.0	11533.0	13855.0	6891.0	7360.0	7598.0	9420.0	3390.0	568.0	9083.0	10916.0	8744.0	8671.0	7964.0	9304.0	982.0	6968.0	6932.0	5904.0
Aromatic amino acid degradation	14401.0	12629.0	19261.0	14068.0	27098.0	17969.0	14733.0	19029.0	14769.0	24766.0	8125.0	2404.0	25380.0	27720.0	17705.0	23356.0	14782.0	25654.0	5544.0	20712.0	20914.0	14177.0
Aromatic amino acid interconversions with aryl acids	213.0	4.0	48.0	5.0	310.0	591.0	144.0	333.0	5.0	625.0	4.0	4.0	1071.0	615.0	13.0	133.0	3.0	279.0	4.0	108.0	579.0	13.0
Arsenic resistance	10896.0	1319.0	12592.0	4770.0	19752.0	8842.0	9480.0	14077.0	5046.0	17191.0	2415.0	1962.0	18149.0	19621.0	23832.0	16823.0	5189.0	17943.0	15098.0	15138.0	14803.0	11386.0
At1g01770	105.0	5.0	53.0	476.0	196.0	2168.0	74.0	211.0	1.0	490.0	5.0	0.0	789.0	451.0	7.0	77.0	516.0	163.0	1.0	40.0	360.0	1.0
At1g14345	1436.0	141.0	545.0	337.0	1400.0	354.0	473.0	993.0	295.0	1129.0	320.0	318.0	1381.0	1551.0	408.0	797.0	331.0	999.0	594.0	1256.0	1088.0	190.0
At1g21350	6361.0	2970.0	6571.0	4313.0	9966.0	5631.0	4807.0	7434.0	4359.0	8958.0	4364.0	1776.0	9623.0	10991.0	5291.0	9711.0	4548.0	10694.0	7285.0	9193.0	8624.0	2764.0
At1g24340	287.0	0.0	163.0	92.0	514.0	10.0	206.0	337.0	91.0	671.0	0.0	51.0	764.0	560.0	155.0	382.0	108.0	458.0	5.0	356.0	392.0	53.0
At1g26220 At1g32070	74.0	6.0	78.0	58.0	88.0	202.0	52.0	88.0	80.0	91.0	46.0	4.0	84.0	111.0	8.0	115.0	58.0	124.0	162.0	103.0	96.0	51.0
At1g48360	3172.0	1091.0	3196.0	1640.0	4271.0	1306.0	1922.0	3102.0	1530.0	3809.0	1205.0	2090.0	4277.0	4645.0	1831.0	4644.0	1737.0	4962.0	3990.0	4689.0	3845.0	1004.0
At1g54520	1198.0	294.0	1094.0	704.0	1689.0	320.0	823.0	1259.0	781.0	1546.0	127.0	2.0	1661.0	1831.0	908.0	1859.0	791.0	1945.0	1473.0	1737.0	1623.0	508.0
At1g69340 At2g40600	7825.0	2335.0	8838.0	6891.0	13041.0	4929.0	7125.0	8274.0	6405.0	10679.0	3829.0	1900.0	11011.0	12275.0	6244.0	10152.0	6989.0	11101.0	10599.0	9987.0	9043.0	4625.0
At2g23840	6967.0	2306.0	6468.0	3370.0	10930.0	4358.0	4433.0	7655.0	3443.0	9475.0	3247.0	979.0	10012.0	10536.0	4174.0	8715.0	3762.0	10003.0	8455.0	8559.0	8258.0	2565.0
At2g25870	5377.0	2684.0	6908.0	4407.0	8738.0	4287.0	4131.0	6137.0	4497.0	7149.0	3253.0	1261.0	7105.0	9038.0	4780.0	8102.0	4644.0	8506.0	7865.0	7780.0	6515.0	2987.0
At2g33980 At1g28960	123.0	4.0	21.0	3.0	114.0	128.0	66.0	163.0	261.0	342.0	0.0	4.0	527.0	281.0	2.0	102.0	5.0	159.0	3.0	93.0	288.0	1.0
At3g21300	7820.0	1597.0	4492.0	2575.0	9311.0	5327.0	3819.0	7128.0	2731.0	8681.0	2363.0	1432.0	9738.0	10397.0	3120.0	7519.0	3044.0	8409.0	5109.0	8267.0	8043.0	1876.0
At3g50560	139.0	8.0	78.0	8.0	253.0	6.0	134.0	211.0	2.0	625.0	6.0	356.0	1084.0	461.0	15.0	152.0	3.0	257.0	3.0	140.0	499.0	3.0
At4g10620 At3g57180 At3g47450	7884.0	973.0	4241.0	2501.0	9200.0	2443.0	3267.0	5761.0	2491.0	7040.0	1088.0	457.0	7666.0	8801.0	2633.0	5380.0	2647.0	6064.0	5723.0	6455.0	5980.0	1673.0
At4g17370	24.0	23.0	33.0	2.0	60.0	47.0	17.0	38.0	1.0	50.0	6.0	7.0	59.0	45.0	10.0	53.0	0.0	76.0	12.0	44.0	49.0	3.0
At5g04520 AT1G06240	10024.0	3239.0	9538.0	6367.0	15016.0	5923.0	7728.0	11352.0	6566.0	14312.0	4233.0	5240.0	15646.0	16126.0	7347.0	15177.0	6911.0	16622.0	11635.0	14425.0	13860.0	4410.0
At5g37530 (CsdL protein family)	22692.0	9428.0	25354.0	14318.0	37559.0	23740.0	17310.0	26980.0	14884.0	32886.0	14416.0	13755.0	34713.0	38809.0	17229.0	31824.0	15891.0	35086.0	21002.0	30547.0	28434.0	9751.0
At5g63290	23360.0	11242.0	22775.0	13548.0	34167.0	23560.0	15935.0	26895.0	14031.0	32730.0	14190.0	17088.0	35786.0	39800.0	15609.0	32246.0	14889.0	35707.0	20463.0	31388.0	29418.0	11340.0
Autoinducer 2 (AI-2) transport and processing (lsrACDBFGE operon)	6509.0	6720.0	9187.0	10827.0	15151.0	12597.0	9327.0	9010.0	11417.0	11520.0	10182.0	5204.0	10806.0	13589.0	13937.0	9543.0	11823.0	11116.0	15680.0	7749.0	8195.0	7338.0
Auxin degradation	2525.0	1655.0	4085.0	2480.0	4757.0	3379.0	2573.0	4117.0	2548.0	4648.0	2440.0	2059.0	4943.0	5477.0	3019.0	4908.0	2703.0	5485.0	1246.0	4515.0	4154.0	1636.0
B12 duf71	1015.0	730.0	2186.0	992.0	2178.0	948.0	1106.0	1486.0	1131.0	1905.0	778.0	10.0	1719.0	2288.0	1049.0	2140.0	1017.0	2204.0	1302.0	1880.0	1502.0	766.0
BEY LIP	38286.0	21296.0	46479.0	28744.0	67066.0	47367.0	33367.0	48581.0	29948.0	61329.0	26624.0	26712.0	64424.0	71182.0	33361.0	61262.0	29797.0	67270.0	45042.0	56653.0	53966.0	23444.0
Bacillibactin Siderophore	23.0	2.0	5.0	0.0	19.0	218.0	4.0	16.0	0.0	25.0	1.0	1.0	32.0	33.0	0.0	21.0	0.0	33.0	24.0	27.0	32.0	0.0
Bacillus biofilm matrix protein component TasA and homologs	3.0	0.0	3.0	3.0	9.0	1835.0	5.0	13.0	0.0	5.0	0.0	1.0	11.0	12.0	0.0	20.0	6.0	25.0	0.0	14.0	11.0	0.0
Bacitracin Stress Response	702.0	5.0	95.0	6.0	537.0	4160.0	113.0	382.0	7.0	451.0	13.0	10.0	567.0	497.0	13.0	188.0	8.0	190.0	80.0	309.0	334.0	4.0
BactLuciferaseComplex	157.0	7.0	22.0	58.0	125.0	1.0	97.0	158.0	58.0	165.0	4.0	287.0	204.0	185.0	31.0	316.0	61.0	361.0	0.0	309.0	251.0	37.0
Bacterial Cell Division	55521.0	26878.0	61826.0	36508.0	89145.0	50745.0	47408.0	66371.0	38180.0	80581.0	37593.0	24855.0	85347.0	95823.0	43923.0	79531.0	48101.0	87130.0	54724.0	75976.0	71250.0	28566.0
Bacterial Chemotaxis	36878.0	27289.0	57940.0	41863.0	67808.0	53387.0	41803.0	51783.0	43144.0	63821.0	44702.0	31785.0	68407.0	78341.0	50859.0	76358.0	45210.0	80370.0	57861.0	69404.0	58349.0	31775.0
Bacterial Cytoskeleton	40267.0	19250.0	44069.0	27281.0	65966.0	36672.0	31421.0	48339.0	26004.0	59725.0	30353.0	17995.0	62950.0	68956.0	32677.0	58425.0	37902.0	63966.0	42415.0	54317.0	52032.0	22343.0
Bacterial Luciferases	157.0	7.0	22.0	58.0	125.0	1.0	97.0	158.0	58.0	165.0	4.0	287.0	204.0	185.0	31.0	316.0	61.0	361.0	0.0	309.0	251.0	37.0
Bacterial cyanide production and tolerance mechanisms	115.0	12.0	38.0	2.0	246.0	1.0	129.0	97.0	3.0	570.0	15.0	390.0	945.0	350.0	7.0	92.0	4.0	175.0	2.0	92.0	378.0	5.0
Bacterial hemoglobins	20821.0	8146.0	21141.0	12943.0	30748.0	20518.0	16795.0	28085.0	11833.0	33479.0	17181.0	5933.0	37918.0	37867.0	14874.0	38298.0	13470.0	41070.0	17438.0	36236.0	33936.0	8565.0
Bacterial motility:Gliding	9881.0	7035.0	11749.0	6676.0	15956.0	7870.0	8340.0	14144.0	6830.0	17257.0	5548.0	4027.0	19647.0	19990.0	7520.0	18998.0	6981.0	21298.0	9856.0	18229.0	17612.0	5699.0
Bacterial pathways for dimethylsulfoniopropionate and acrylate catabolism	1243.0	641.0	1567.0	760.0	2455.0	2124.0	1040.0	1676.0	804.0	2324.0	504.0	905.0	2615.0	2578.0	806.0	2110.0	774.0	2451.0	2042.0	1894.0	2030.0	451.0
Bacteriocin-like peptides Blp	34.0	0.0	2.0	0.0	43.0	3.0	13.0	51.0	0.0	63.0	0.0	0.0	63.0	61.0	0.0	33.0	3.0	30.0	0.0	37.0	44.0	0.0
Bacteriocins in Lactobacilli	38.0	0.0	2.0	0.0	44.0	1.0	5.0	31.0	0.0	38.0	0.0	0.0	32.0	53.0	0.0	13.0	0.0	6.0	0.0	12.0	21.0	0.0
Bacteroides capsular polysaccharide transcription antitermination proteins	7.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	4.0	0.0
Benzoate catabolism	910.0	10.0	592.0	574.0	1627.0	686.0	724.0	1131.0	610.0	1550.0	3.0	463.0	1737.0	1456.0	843.0	793.0	671.0	993.0	7.0	628.0	1143.0	448.0
Benzoate degradation	4604.0	584.0	4516.0	2212.0	7951.0	3165.0	3560.0	6133.0	2152.0	8795.0	2801.0	2047.0	10154.0	8856.0	2760.0	5880.0	2519.0	7103.0	1510.0	4956.0	7039.0	1558.0
