Subsystem 3	FAME000001	FAME000005	FAME000004	FAME000003	FAME000002	FAME000006	FAME000007	FAME000008	FAME000009	FAME000010	FAME000011	FAME000012	FAME000013	FAME000014	FAME000016	FAME000015	FAME000017	FAME000018	FAME000019	FAME000020	FAME000022	FAME000023
A conserved operon linked to TyrR and possibly involved in virulence	0.0484577937170315	0.0524411016647359	0.053308551756183	0.0565777566707607	0.0477664428258102	0.0434994432071269	0.0539931641943772	0.0502384643255623	0.0555216333224586	0.0494890617263457	0.0519667024354603	0.0639926007047801	0.046376481827964	0.0482942443002964	0.057234679035999	0.0529630906947923	0.0567691651066821	0.0560040435281913	0.0554108359488184	0.0519926684186874	0.050022586512706	0.05751581493319
A toxin-antitoxin module cotranscribed with DinB	0.0012427507785691	0.0013978377003927		0.0012084569385987		9.15777751728988e-06	0.0001902004903368	0.0010408944467209	2.7554160457795834e-05	0.000843634042966			0.000636679953245	0.0007370720762487	0.0009603134066442			0.0007646183127331		0.0012366743432081	0.0007846957465955	3.831833106808133e-05
ABC transporter alkylphosphonate (TC 3.A.1.9.1)	0.1134539756577693	0.107772177305284	0.1086446870973873	0.1029228649783215	0.095194416614768	0.0838486109483061	0.0997958197736233	0.097193518962571	0.1094175711779072	0.0984715294808123	0.1033474217026441	0.0884938064673534	0.0968685739455964	0.1048734279890551	0.0904222842935765	0.1049787200175848	0.10257627707919	0.0950732073891807	0.1093393686480379	0.0947288184730443	0.0947643827307553	0.1002152085200553
ABC transporter branched-chain amino acid (TC 3.A.1.4.1)	0.3042984377768915	0.3375990680490321	0.4865590451583227	0.3314820923945369	0.4490778975206015	0.3871633600984643	0.4113224291392223	0.3197038410382737	0.4925627647036348	0.3354189703769071	0.5296668509416987	0.4320103601160344	0.3432696661313794	0.3445598312382683	0.3273501884238163	0.4832882025899803	0.4885789244042111	0.3277475039271174	0.3873362412482345	0.307517505594261	0.328016960739056	0.4485863154255168
ABC transporter dipeptide (TC 3.A.1.5.2)	0.3346403041957561	0.4106998516929065	0.5709568989861299	0.4169827251142908	0.5515288485218895	0.4300011902203545	0.4730066935779227	0.3817135605286647	0.573814319982914	0.3937940546844336	0.5006323944871176	1.2214381923896174	0.3784386068004733	0.3902146809660073	0.3832474306684505	0.5529241507843566	0.5571219132070201	0.3929799106207314	0.5194233457709353	0.3552753199771011	0.3792951951002402	0.5183452020714451
ABC transporter of unknown substrate X	0.002283119750959	0.0017824279671675	0.0001408044156264	0.0020219420206425	0.0005641150614208	0.0079916871800883	0.0009391149210382	0.0016945149301766	0.00012399372206	0.0016934712774244	5.716908958796521e-05	0.1084347784335171	0.0017017800619447	0.0011839442770661	0.0009995520189587	0.0003316114801999		0.0015802111796486		0.0015965531203322	0.0022621859361314	3.831833106808133e-05
ABC transporter oligopeptide (TC 3.A.1.5.1)	0.5121413905072042	0.4556536729147046	0.4978703332136501	0.3823330187160151	0.5820186631826922	0.4215019731957959	0.4861413582724219	0.4392561809103105	0.5145463923888803	0.438950649931116	0.5792395977506631	0.7393408268197803	0.432448296629229	0.4469528514576869	0.4274778336948651	0.5181666243467251	0.5205729845713971	0.4370335497901699	0.4384275935170816	0.4420521884424729	0.44157186104617	0.4840818627715828
ABC transporter tungstate (TC 3.A.1.6.2)	0.0043138946873384	0.0028622391008042	1.40804415626474e-05	0.0004472860097411	6.346294440984538e-05	0.0021719195678505	0.0025169864887911	0.0045176859957193	0.0001377708022889	0.0045779553213892	3.8112726391976805e-05	0.0010768814065828	0.0060329888279924	0.0043524640212687	0.0097237411695568	5.921633574999146e-05	0.0001556741273492	0.0089441463125271	1.950399012630004e-05	0.0078505919416991	0.0085303261341622	
ABC-type iron transport system	0.0062801604229982	0.0076992013021634	2.81608831252948e-05	0.0045748726961239	0.0180446305271993	0.0127109951939983	0.0038515599293214	0.0069035793451641	3.6738880610394446e-05	0.0075989095781866	0.0151593369224087	0.0146398437620251	0.0062299430939027	0.0067265838610698	0.0052631370254471	0.0004500441516999	7.783706367460989e-05	0.0061990721724924		0.0037885420355424	0.0064967152353274	3.831833106808133e-05
ATP-dependent Nuclease	0.0652871057871204	0.0277903447578091	0.0002816088312529	0.0059481192172588	0.0005077035552787	0.0487010608369475	0.0089631981071247	0.0200219108281034	0.0004684207277825	0.0178651914981042	0.0002286763583518	0.0002067612300639	0.0241700371035655	0.0230521962397787	0.0043492903965437	0.0003079249458999	0.0008043163246376	0.0053579920284859	0.0005266077334101	0.0190670319370821	0.0172633064251029	0.0002682283174765
ATP-dependent RNA helicases, bacterial	0.2754353137784442	0.247195393969462	0.2556585774529888	0.2386153155124123	0.2281281308385908	0.2576082815613643	0.2579831900806639	0.2674945655360154	0.2617783014292894	0.2604720107657629	0.2391668862912524	0.2629658244362827	0.2668522043288048	0.2661577949538123	0.2798415222665082	0.2520484114862636	0.263504406226446	0.2833958658956898	0.2592665407489063	0.2858135437084334	0.2831125699068473	0.2355236219099618
ATP-dependent efflux pump transporter Ybh	0.1371674313536724	0.1493079261169556	0.1756675889355889	0.1588179219500037	0.1463032411794969	0.1254798675419059	0.1631920207090293	0.1547641662290062	0.1715797571706946	0.1489985919168858	0.1583869627034576	0.159860891044413	0.144258586789474	0.1508380616328988	0.1557814212687983	0.1693113471763755	0.1602924597939133	0.1595503545903266	0.1669736594712546	0.1476484473782634	0.1504895629574593	0.1395170434188841
Accessory colonization factor	0.0075703444373905	0.0176504744549597	5.63217662505896e-05	0.025848423089249	0.0002538517776393	7.326222013831904e-05	0.0024488313130871	0.0124907333606517	5.510832091559167e-05	0.0090194404299456		3.446020501065165e-05	0.006081186095481	0.0111094921637487	0.0115485431611931	9.474613719998632e-05	0.0001037827515661	0.0100023402984209	5.851197037890011e-05	0.0149055246234293	0.0089921890961223	
Acetoin, butanediol metabolism	0.192458457023403	0.1765462676196059	0.1167277992504525	0.1306452184019479	0.1817606933651043	0.2102872977962725	0.1365687070741281	0.1639646016290302	0.1254664044630269	0.1704824594805888	0.1613978680884255	0.1258222492083918	0.1770545463748538	0.1708593605233845	0.1368202912033691	0.1082715430608578	0.1215026062134628	0.148248918338836	0.1757491547620801	0.151218881064031	0.1637060476544941	0.1326718993328062
Acetone Butanol Ethanol Synthesis	0.019208228515571	0.0273655114359899	0.0094259789390707	0.0378714202336993	0.041919536906379	0.0133349206652651	0.0120278964416448	0.0212084302679025	0.0094252168636304	0.0197774908090525	0.0071819677094204	0.0014730916490858	0.0151118379802337	0.0204762909686486	0.0239453576968356	0.0080009401136049	0.0091945779858717	0.0219009564036117	0.0059615354051357	0.0257508281366048	0.0193029441536956	0.0111882472182915
Acetone carboxylase	3.7946588658599473e-06			1.5694245955828227e-05					6.888540114448959e-06				1.586741316498642e-05	2.670551000901151e-06					9.751995063150018e-06			
Acetone carboxylase subunits 2	3.7946588658599473e-06													2.670551000901151e-06								
Acetyl-CoA fermentation to Butyrate	0.0893822943200788	0.1053242243715528	0.0463755159157842	0.1323668532394012	0.1003300295335999	0.0855697741544583	0.0677221625541935	0.1035480833203171	0.0399026368328135	0.1042934455787994	0.0295424050107651	0.0137965078691234	0.1024125761435222	0.0996284760019055	0.1039919360186787	0.0375787378556448	0.0454876029533633	0.1038867123346347	0.0381998829956866	0.1047521200476129	0.1044181709468787	0.0393434855961372
Acyclic terpenes utilization	0.0005518066434104	0.0006200725626742		4.708273786748468e-05	1.4102876535521197e-05	0.0001404192552651	0.0008955273086694	0.0005561641896695	2.7554160457795834e-05	0.0015807799653125			0.0033212479180962	0.001862264231295	0.000189997491207	2.6318371444440646e-06	8.64856263051221e-06	0.000479538398603	4.875997531575008e-05	9.596767389975024e-05	0.0014562821963846	
Acyl Homoserine Lactone (AHL) Autoinducer Quorum Sensing_	0.0132813060305098	0.0064677728518174	5.63217662505896e-05	0.0005492986084539	0.0001269258888196	3.663111006915952e-05	0.0077268949199351	0.0139602314030813	5.510832091559167e-05	0.0118578140838169	5.716908958796521e-05	4.307525626331456e-05	0.0144185200003586	0.0114121546105175	0.0202966885172042	9.474613719998632e-05	0.0001816198152407	0.020378493994178	1.950399012630004e-05	0.0222208786747876	0.0199213749000573	0.0001915916553404
Acyl-CoA thioesterase II	0.0134093757672325	0.0142224439039966	0.0256639514881854	0.0140803543300374	0.024651828184091	0.0205134216387293	0.0198442511584795	0.0205602165346187	0.0251477637778151	0.0202906393716316	0.0275745575445953	0.0012692842178923	0.0228629589440998	0.0197122271213182	0.0142374206997972	0.0243655482832633	0.0228624753137591	0.0153206854514318	0.0234763027820231	0.0128814791375439	0.018495726471558	0.0205577846180255
Adaptation to d-cysteine	0.0329610393520038	0.0396721501103145	0.0413495633889745	0.0442075520083769	0.0417896437500564	0.0335907279334192	0.0388242788389908	0.035716966309053	0.0429247896331696	0.0364526412589732	0.0454851569034248	0.0734817924912132	0.0333021300653443	0.03485069056176	0.036325248609652	0.0414695947012906	0.0463632145496498	0.0366920504842922	0.0411108354547173	0.0350663699346189	0.0351967854337847	0.0435832697568357
Additional flagellar genes in Vibrionales	0.0111752703599575	0.0041380433511627	0.0001126435325011	0.000360967656984		1.831555503457976e-05	0.0064192665488691	0.0103477153821085	5.510832091559167e-05	0.0087589063872649		3.446020501065165e-05	0.010698603326492	0.0084709877748584	0.0166908665645141	9.474613719998632e-05	0.0001556741273492	0.016232563587358	5.851197037890011e-05	0.0168684997713788	0.0162029067675413	0.0001915916553404
Adenosyl nucleosidases	0.0167632306595181	0.0153880813148777	0.0150370988650076	0.0140077674843568	0.0284313990956107	0.0218738151814029	0.0142514381606621	0.0158931789593968	0.0151182282942971	0.0164277532829734	0.0179992310402721	0.0179291113543455	0.0163569367312426	0.0158486771369787	0.0151631728437223	0.0131755133664268	0.0134816630339053	0.0154776838531497	0.0180072943218827	0.0156698302452348	0.0157182712844858	0.0213179127607397
Adhesins in Staphylococcus	0.0576535170352987	0.0345774648847162	8.44826493758844e-05	0.0076117092885766	0.0003384690368525	0.0002747333255186	0.008820547739372	0.0170676074719689	0.0001377708022889	0.0190686106476293	0.0001429227239699		0.0213496044134892	0.020638018134964	0.0045723309296998	2.3686534299996584e-05	0.0006474066883411	0.0078387536653536	1.950399012630004e-05	0.0169601052782831	0.0162594614159445	7.663666213616266e-05
Adhesion of Campylobacter	0.0187013437772464	0.0093392569109576	0.0004318002079211	0.0030538386922382	0.0005077035552787	0.0133795129527605	0.004556886747654	0.0081830121025919	0.0028518556073818	0.0074934553228159	0.0035587758268508	0.0025098515982757	0.0086794750012475	0.0078727843506565	0.0034137592713612	0.001772542316783	0.0024734889123264	0.0036342969185466	0.0038000274096074	0.0059630822827708	0.0066769831771128	0.0029058067726628
Agrobacterium opine transport	0.0002371661791162	3.8828825010910914e-05		1.5694245955828227e-05			2.3775061292108005e-05	6.122908510123385e-05		3.721914895438383e-05		6.89204100213033e-06	8.330391911617871e-05	3.738771401261612e-05	4.336899255812871e-05	2.3686534299996584e-05		1.6991518060737657e-05		1.962975147949437e-05	7.77626415545176e-05	
Alanine biosynthesis	0.0920398841350311	0.0941208249101605	0.0949319129964157	0.0993488929912899	0.0833955471658214	0.0872191534793371	0.0951532197273491	0.0960113286014457	0.0982672036186076	0.0970683114525339	0.0982818993590508	0.0400052647237076	0.0983200674685234	0.0987873326148202	0.1044618894020209	0.089695303340737	0.0984871614281571	0.1061767267337238	0.0822394756883002	0.1057432471394874	0.10314360867838	0.0859087720900705
Alcaligin Siderophore	0.0001517863546343	9.984555002805665e-05	0.0020839053512718	0.000455133132719	4.230862960656359e-05		0.0015929291065712	0.0001836872553037	0.0027003077248639	0.0001736893617871			0.0001507404250673	0.0003809986094618	0.0003345607997341	0.0026528918415996	0.0028799713559605	0.0002038982167288	1.950399012630004e-05	0.0002224705167676	0.0002403572557139	0.0057094313291441
Alginate metabolism	0.0253008879881211	0.0334001854760521	0.0829948160507646	0.0369507942491679	0.0898000663399312	0.0643364396514671	0.0655684490354616	0.0302611997053452	0.0911904940350753	0.0446875847381804	0.0772926091229289	0.0233180720572076	0.0531893540130155	0.0403751703989575	0.0332650498871456	0.0882580006796455	0.0907363948380188	0.0342305459012267	0.1713848119048194	0.0294151825920223	0.0342202751713546	0.0812220890873097
Alkaloid biosynthesis from L-lysine	0.0011984797584674	0.0018120118338425		0.0023044384478474	3.525719133880299e-05	3.052592505763293e-05	0.0002853007355052	0.0014720492543088	1.8369440305197223e-05	0.0009573592203266	2.3820453994985495e-05		0.0006723816328663	0.0012337945624163	0.0012556355940639	5.921633574999146e-05	8.64856263051221e-06	0.000959076797206	1.950399012630004e-05	0.0016227261223048	0.0009402210297046	5.747749660212199e-05
Alkane biosynthesis in bacteria	9.486647164649868e-06																					
Alkane synthesis in bacteria 2	2.2135510050849687e-05	2.033890833904857e-05	1.40804415626474e-05	3.138849191165645e-05		1.2210370023053173e-05	5.943765323027001e-05	7.65363563765423e-06	2.7554160457795834e-05	6.409964542143881e-05			0.000241978050766	1.0682204003604605e-05	3.92386123144974e-05	2.3686534299996584e-05	3.459425052204884e-05	7.7405804498916e-05		1.962975147949437e-05	4.005954261899391e-05	4.470471957942821e-05
Alkanesulfonate assimilation	0.1414301654275074	0.1740392822004656	0.0833327466482681	0.143386731909622	0.0705787458056244	0.0971685658728159	0.126869890022704	0.1587616527260073	0.1446547500433521	0.1787691509008225	0.0740601735158094	0.1622122256996398	0.1876984299486839	0.1599911460135434	0.1397620490753821	0.1664748846939511	0.0796856939368818	0.1518400736725231	0.1380671207715673	0.133764212782341	0.1683908825979386	0.0716935974283801
Alkanesulfonates Utilization	0.0577142315771525	0.0779011886385569	0.0575936994717487	0.0625585722337609	0.0503402177935429	0.0730088549603407	0.0668206022635126	0.068853381802277	0.0569820038267217	0.0784734739745721	0.052576506057732	0.0854567137324146	0.0800395955428119	0.065731161968847	0.0545073889611292	0.0554521506741503	0.0540708135659623	0.0616352214081649	0.0591100927427733	0.0485334699913009	0.0692169985364128	0.0480256416053285
Alkylphosphonate utilization	0.1954881759062182	0.2400635689674579	0.3517857520011826	0.2895980734999203	0.2648379184605525	0.2609233970226232	0.2711246853880102	0.2123353237378172	0.3653176517095335	0.2154551547153645	0.2932964859494575	0.2679234992638152	0.201956014555994	0.2407825754167163	0.239521576404228	0.3254450857705197	0.3336572220038458	0.2359113695231523	0.3533472877881355	0.2159538754931101	0.210655831603956	0.329346055530159
Allantoin Utilization	0.0542503174079319	0.0655612919474828	0.0275046004490319	0.0738660053335945	0.0291088344135947	0.0325542094779311	0.0383002013329038	0.0585551048740775	0.0291606008150573	0.0560001560446446	0.0186734664126289	0.2187042756154763	0.0523930452048868	0.053716543498863	0.0538144318872208	0.0306219515430357	0.0287118688734587	0.052977609417148	0.0201198053955021	0.0559282443200106	0.0547757751547105	0.0235806903857499
Alpha-Amylase locus in Streptocococcus	0.0465253636895926	0.0423365471027301	0.0745423269807072	0.0361582348283989	0.0757035360988507	0.0240031453913177	0.0553697402431901	0.0392702942144284	0.0738942882797091	0.038910759274361	0.0234297985494676	0.0497524953208786	0.0384451553574458	0.0409826317332953	0.034865365712541	0.0371570663564053	0.0684412652328212	0.0375858043342871	0.0286520116285392	0.0367309728600803	0.0404299755660358	0.0570330039617323
Alpha-acetolactate operon	0.0187408714737656	0.0146514099707839	0.0001314174545847	0.0053896656319973	0.0136304301715813	0.0173127783964367	0.0061597221297636	0.0122483682321258	8.495866141153715e-05	0.0124249925592718	0.0215241622298688	0.0107383742180692	0.0129448340026605	0.0121812732987772	0.0065982824392009	6.119021360832451e-05	7.999920433223794e-05	0.0077453003160194	0.0150473283824404	0.0083230146273055	0.0099170932418843	8.6216244903183e-05
Amidase clustered with urea and nitrile hydratase functions	0.0220928201386087	0.0262856353390529	0.0120950993023141	0.0128732052452681	0.0082995428411542	0.0102750263743992	0.017330038426839	0.0198114358480679	0.0108287850599137	0.0256005712891236	0.0115815047323619	0.0026189755808095	0.0241365171932545	0.0170163949042753	0.0113723824438022	0.0115124452209416	0.0100107112448178	0.0148298193741215	0.0090953607288979	0.0088813720027223	0.0188779416370167	0.0097456288683153
Amino acid racemase	0.032578990989245	0.0309801100433637	0.0366152143434756	0.0295882363848807	0.036230793493916	0.0165730334792064	0.032088700194907	0.029236803095443	0.0381558861145083	0.0308787241581369	0.0194975860624154	0.0038813677576997	0.033010494785242	0.0318266079048911	0.031509255195305	0.0354939332694834	0.0342580447777237	0.0321357884016375	0.0699017820541917	0.0331632803089183	0.0334659814325237	0.0328843355520193
Aminoglycoside adenylyltransferases	0.0078169972636714	0.0055747098765664		0.0068034556218515	4.230862960656359e-05	0.0016483999531121	0.003530596601878	0.0066892775473097	2.7554160457795834e-05	0.0063644744711996		3.446020501065165e-05	0.0058907771375012	0.0055440638778707	0.0076081604087688	2.3686534299996584e-05	7.783706367460989e-05	0.0065304067746768	3.900798025260008e-05	0.0076032570730574	0.0068855284431	0.0001149549932042
Ammonia assimilation	0.426451036441504	0.4089229971149041	0.4461636663592411	0.4182123070061795	0.4740999262137511	0.4330117732387805	0.429547485409131	0.4490991936909475	0.4627271197599302	0.4499800720996344	0.4190708650883789	0.4924644721029703	0.4735284342853826	0.4607056550021224	0.4593947274704912	0.4317446120578785	0.4527694272816773	0.465007198416169	0.4098688759746487	0.4506255291386469	0.4711046984423687	0.468399903313727
An Arabinose Sensor	0.0001897329432929	6.656370001870443e-05			1.4102876535521197e-05	0.0016545051381237	2.3775061292108005e-05	7.65363563765423e-06		0.0001095897163656			5.950279936869909e-05	2.136440800720921e-05	0.0001239114073089		7.783706367460989e-05	0.000147259823193	0.0004095837926523	0.0001308650098632	9.190130365533898e-05	
Anaerobic Aromatic Degredation (benzoate)	7.273096159564899e-05	6.841269168589065e-05		2.0925661274437637e-05		9.15777751728988e-06	0.0001822754699061	6.122908510123385e-05	1.3777080228897916e-05	0.0001431164894317		1.7230102505325824e-05	0.0006308430119736	0.0002510317940847	4.336899255812871e-05	3.5529801449994875e-05		0.0001415959838394		9.160550690430704e-05	0.0002391790338722	3.831833106808133e-05
Anaerobic Oxidative Degradation of L-Ornithine	1.8973294329299732e-05					5.494666510373928e-05		1.530727127530846e-05						1.0682204003604605e-05				5.8526339986985256e-05		2.617300197265916e-05	1.413866210082138e-05	
Anaerobic benzoate metabolism	0.0032648251564747	0.0046085033652498	0.0010469373090744	0.0050139278661146	0.0010477878848911	0.0003126808988633	0.0033861895494413	0.0040492439395654	0.0011529478479503	0.0069536583453034	0.0004861519514038	7.370654960611602e-05	0.0086968852596	0.0055904262547426	0.0050520370037175	0.0012299571717926	0.00117133324358	0.0054438127016972	0.0010642682021062	0.004934792217497	0.0067465172002031	0.0010861862382787
Anaerobic respiratory reductases	0.2036080917371027	0.2424209853894162	0.1968496139657964	0.2757891119457833	0.1491988279203995	0.3546496932483218	0.2279319599546581	0.2333607091365905	0.2003672168013426	0.239245632565385	0.2469738338504128	0.2031586480996825	0.2308471702390059	0.2299190723291733	0.2391019608767737	0.2300220443294447	0.191785368944572	0.2361789647177751	0.1380070932313934	0.2236564927620675	0.2251335430738417	0.2052554206475494
Archaeal lipids	0.0486286973821195	0.0339776492603569	0.0128185960516445	0.0236171515576993	0.0118129478672962	0.0243503368328673	0.0194119765600873	0.0267402448730562	0.0132876821455487	0.0281178309270225	0.0089086544732016	0.002702907481884	0.0299695395855494	0.0301632206660114	0.0199204052138772	0.0131996365602986	0.0136280412130168	0.0216271111728361	0.0062004110363784	0.026813082091839	0.0248053187953675	0.010939427561404
Archease	6.324431443099911e-06												1.9834266456233027e-06	1.0682204003604605e-05							2.3564436834702305e-06	
Archease2	1.8973294329299732e-05	5.546975001558702e-06					2.3775061292108005e-05	1.530727127530846e-05		6.203191492397305e-06			5.950279936869908e-06	1.0682204003604605e-05	1.8586711096340876e-05			1.1327678707158436e-05		1.3086500986329578e-05		
Arginine Biosynthesis extended	0.265880573568591	0.2436549447251331	0.2362430565822546	0.2347186958123461	0.241120170798997	0.2533798304223815	0.2295692180794445	0.2531169558694937	0.2350489288411973	0.2498452151104436	0.2195383557903046	0.1723256258107238	0.2600858009965927	0.2594538217578824	0.2455202456429174	0.2164609728028062	0.2375435833503066	0.2502783273589892	0.232748265640185	0.255663554086028	0.260001984125581	0.2116283106559059
